city	code	candidate	n
Abancourt	59001	Le Pen	158
Abancourt	59001	Macron	141
Abscon	59002	Le Pen	1446
Abscon	59002	Macron	582
Aibes	59003	Le Pen	122
Aibes	59003	Macron	66
Aix	59004	Macron	466
Aix	59004	Le Pen	296
Allennes-les-Marais	59005	Macron	1101
Allennes-les-Marais	59005	Le Pen	996
Amfroipret	59006	Le Pen	72
Amfroipret	59006	Macron	59
Anhiers	59007	Le Pen	335
Anhiers	59007	Macron	144
Aniche	59008	Le Pen	2997
Aniche	59008	Macron	1276
Anneux	59010	Macron	69
Anneux	59010	Le Pen	69
Annoeullin	59011	Macron	2644
Annoeullin	59011	Le Pen	2499
Anor	59012	Le Pen	947
Anor	59012	Macron	511
Anstaing	59013	Macron	609
Anstaing	59013	Le Pen	270
Anzin	59014	Le Pen	3241
Anzin	59014	Macron	1884
Arleux	59015	Le Pen	1199
Arleux	59015	Macron	582
Armbouts-Cappel	59016	Le Pen	774
Armbouts-Cappel	59016	Macron	608
Armentières	59017	Macron	5289
Armentières	59017	Le Pen	5039
Arnèke	59018	Le Pen	415
Arnèke	59018	Macron	411
Artres	59019	Le Pen	272
Artres	59019	Macron	268
Assevent	59021	Le Pen	524
Assevent	59021	Macron	332
Attiches	59022	Macron	798
Attiches	59022	Le Pen	593
Aubencheul-au-Bac	59023	Le Pen	201
Aubencheul-au-Bac	59023	Macron	114
Auberchicourt	59024	Le Pen	1394
Auberchicourt	59024	Macron	799
Aubers	59025	Macron	694
Aubers	59025	Le Pen	436
Aubigny-au-Bac	59026	Le Pen	470
Aubigny-au-Bac	59026	Macron	199
Aubry-du-Hainaut	59027	Macron	514
Aubry-du-Hainaut	59027	Le Pen	414
Auby	59028	Le Pen	1972
Auby	59028	Macron	1211
Auchy-lez-Orchies	59029	Macron	483
Auchy-lez-Orchies	59029	Le Pen	325
Audignies	59031	Le Pen	135
Audignies	59031	Macron	69
Aulnoy-lez-Valenciennes	59032	Le Pen	1610
Aulnoy-lez-Valenciennes	59032	Macron	1340
Aulnoye-Aymeries	59033	Le Pen	2413
Aulnoye-Aymeries	59033	Macron	1536
Avelin	59034	Macron	1129
Avelin	59034	Le Pen	595
Avesnelles	59035	Le Pen	703
Avesnelles	59035	Macron	524
Avesnes-le-Sec	59038	Le Pen	491
Avesnes-le-Sec	59038	Macron	277
Avesnes-les-Aubert	59037	Le Pen	1292
Avesnes-les-Aubert	59037	Macron	531
Avesnes-sur-Helpe	59036	Le Pen	972
Avesnes-sur-Helpe	59036	Macron	749
Awoingt	59039	Le Pen	269
Awoingt	59039	Macron	222
Bachant	59041	Le Pen	799
Bachant	59041	Macron	312
Bachy	59042	Macron	675
Bachy	59042	Le Pen	382
Bailleul	59043	Macron	4066
Bailleul	59043	Le Pen	3666
Baisieux	59044	Macron	1884
Baisieux	59044	Le Pen	1025
Baives	59045	Le Pen	34
Baives	59045	Macron	25
Bambecque	59046	Le Pen	240
Bambecque	59046	Macron	196
Banteux	59047	Le Pen	127
Banteux	59047	Macron	51
Bantigny	59048	Le Pen	169
Bantigny	59048	Macron	113
Bantouzelle	59049	Le Pen	136
Bantouzelle	59049	Macron	78
Bas-Lieu	59050	Le Pen	93
Bas-Lieu	59050	Macron	83
Bauvin	59052	Le Pen	1687
Bauvin	59052	Macron	1108
Bavay	59053	Le Pen	886
Bavay	59053	Macron	710
Bavinchove	59054	Le Pen	323
Bavinchove	59054	Macron	272
Bazuel	59055	Le Pen	188
Bazuel	59055	Macron	106
Beaucamps-Ligny	59056	Macron	414
Beaucamps-Ligny	59056	Le Pen	180
Beaudignies	59057	Le Pen	189
Beaudignies	59057	Macron	148
Beaufort	59058	Le Pen	356
Beaufort	59058	Macron	205
Beaumont-en-Cambrésis	59059	Le Pen	172
Beaumont-en-Cambrésis	59059	Macron	88
Beaurain	59060	Le Pen	111
Beaurain	59060	Macron	47
Beaurepaire-sur-Sambre	59061	Le Pen	77
Beaurepaire-sur-Sambre	59061	Macron	51
Beaurieux	59062	Macron	39
Beaurieux	59062	Le Pen	38
Beauvois-en-Cambrésis	59063	Le Pen	669
Beauvois-en-Cambrésis	59063	Macron	389
Bellaing	59064	Le Pen	404
Bellaing	59064	Macron	297
Bellignies	59065	Le Pen	245
Bellignies	59065	Macron	176
Bergues	59067	Macron	972
Bergues	59067	Le Pen	937
Berlaimont	59068	Le Pen	908
Berlaimont	59068	Macron	602
Bermerain	59069	Le Pen	249
Bermerain	59069	Macron	185
Bermeries	59070	Le Pen	113
Bermeries	59070	Macron	74
Bersillies	59072	Macron	72
Bersillies	59072	Le Pen	66
Bersée	59071	Macron	941
Bersée	59071	Le Pen	566
Berthen	59073	Macron	204
Berthen	59073	Le Pen	150
Bertry	59074	Le Pen	729
Bertry	59074	Macron	377
Bettignies	59076	Le Pen	86
Bettignies	59076	Macron	63
Bettrechies	59077	Le Pen	82
Bettrechies	59077	Macron	57
Beugnies	59078	Le Pen	183
Beugnies	59078	Macron	137
Beuvrages	59079	Le Pen	1709
Beuvrages	59079	Macron	1158
Beuvry-la-Forêt	59080	Macron	875
Beuvry-la-Forêt	59080	Le Pen	782
Bierne	59082	Le Pen	582
Bierne	59082	Macron	508
Bissezeele	59083	Le Pen	81
Bissezeele	59083	Macron	72
Blaringhem	59084	Le Pen	708
Blaringhem	59084	Macron	510
Blécourt	59085	Le Pen	126
Blécourt	59085	Macron	108
Boeschepe	59086	Macron	621
Boeschepe	59086	Le Pen	619
Bois-Grenier	59088	Macron	750
Bois-Grenier	59088	Le Pen	325
Bollezeele	59089	Le Pen	429
Bollezeele	59089	Macron	363
Bondues	59090	Macron	4916
Bondues	59090	Le Pen	1456
Borre	59091	Macron	206
Borre	59091	Le Pen	145
Bouchain	59092	Le Pen	1427
Bouchain	59092	Macron	701
Boulogne-sur-Helpe	59093	Macron	91
Boulogne-sur-Helpe	59093	Le Pen	89
Bourbourg	59094	Le Pen	2130
Bourbourg	59094	Macron	1266
Bourghelles	59096	Macron	718
Bourghelles	59096	Le Pen	332
Boursies	59097	Le Pen	143
Boursies	59097	Macron	66
Bousbecque	59098	Macron	1497
Bousbecque	59098	Le Pen	1145
Bousies	59099	Le Pen	539
Bousies	59099	Macron	336
Bousignies	59100	Macron	135
Bousignies	59100	Le Pen	91
Bousignies-sur-Roc	59101	Le Pen	98
Bousignies-sur-Roc	59101	Macron	56
Boussières-en-Cambrésis	59102	Le Pen	150
Boussières-en-Cambrésis	59102	Macron	91
Boussières-sur-Sambre	59103	Le Pen	160
Boussières-sur-Sambre	59103	Macron	106
Boussois	59104	Le Pen	933
Boussois	59104	Macron	473
Bouvignies	59105	Macron	560
Bouvignies	59105	Le Pen	378
Bouvines	59106	Macron	356
Bouvines	59106	Le Pen	120
Boëseghem	59087	Le Pen	255
Boëseghem	59087	Macron	205
Bray-Dunes	59107	Le Pen	1458
Bray-Dunes	59107	Macron	1159
Briastre	59108	Le Pen	252
Briastre	59108	Macron	129
Brillon	59109	Macron	291
Brillon	59109	Le Pen	181
Brouckerque	59110	Le Pen	468
Brouckerque	59110	Macron	413
Broxeele	59111	Le Pen	127
Broxeele	59111	Macron	99
Bruay-sur-l'Escaut	59112	Le Pen	3653
Bruay-sur-l'Escaut	59112	Macron	1673
Bruille-Saint-Amand	59114	Le Pen	495
Bruille-Saint-Amand	59114	Macron	377
Bruille-lez-Marchiennes	59113	Le Pen	439
Bruille-lez-Marchiennes	59113	Macron	235
Brunémont	59115	Le Pen	275
Brunémont	59115	Macron	115
Bry	59116	Macron	133
Bry	59116	Le Pen	90
Bugnicourt	59117	Le Pen	387
Bugnicourt	59117	Macron	238
Busigny	59118	Le Pen	876
Busigny	59118	Macron	422
Buysscheure	59119	Le Pen	179
Buysscheure	59119	Macron	155
Bérelles	59066	Le Pen	72
Bérelles	59066	Macron	16
Béthencourt	59075	Le Pen	289
Béthencourt	59075	Macron	134
Bévillers	59081	Le Pen	201
Bévillers	59081	Macron	114
Cagnoncles	59121	Le Pen	235
Cagnoncles	59121	Macron	143
Cambrai	59122	Le Pen	7350
Cambrai	59122	Macron	6542
Camphin-en-Carembault	59123	Macron	600
Camphin-en-Carembault	59123	Le Pen	437
Camphin-en-Pévèle	59124	Macron	932
Camphin-en-Pévèle	59124	Le Pen	482
Cantaing-sur-Escaut	59125	Le Pen	131
Cantaing-sur-Escaut	59125	Macron	99
Cantin	59126	Le Pen	545
Cantin	59126	Macron	363
Capelle	59127	Macron	51
Capelle	59127	Le Pen	47
Capinghem	59128	Macron	843
Capinghem	59128	Le Pen	440
Cappelle-Brouck	59130	Le Pen	415
Cappelle-Brouck	59130	Macron	263
Cappelle-en-Pévèle	59129	Macron	826
Cappelle-en-Pévèle	59129	Le Pen	495
Cappelle-la-Grande	59131	Le Pen	2858
Cappelle-la-Grande	59131	Macron	1525
Carnin	59133	Macron	387
Carnin	59133	Le Pen	303
Carnières	59132	Le Pen	415
Carnières	59132	Macron	183
Cartignies	59134	Le Pen	380
Cartignies	59134	Macron	246
Cassel	59135	Macron	680
Cassel	59135	Le Pen	520
Catillon-sur-Sambre	59137	Le Pen	283
Catillon-sur-Sambre	59137	Macron	161
Cattenières	59138	Le Pen	245
Cattenières	59138	Macron	127
Caudry	59139	Le Pen	4053
Caudry	59139	Macron	2143
Caullery	59140	Le Pen	192
Caullery	59140	Macron	76
Cauroir	59141	Le Pen	181
Cauroir	59141	Macron	144
Caëstre	59120	Macron	625
Caëstre	59120	Le Pen	506
Cerfontaine	59142	Le Pen	229
Cerfontaine	59142	Macron	151
Chemy	59145	Macron	294
Chemy	59145	Le Pen	185
Choisies	59147	Macron	20
Choisies	59147	Le Pen	19
Château-l'Abbaye	59144	Macron	249
Château-l'Abbaye	59144	Le Pen	227
Chéreng	59146	Macron	1380
Chéreng	59146	Le Pen	541
Clairfayts	59148	Le Pen	97
Clairfayts	59148	Macron	53
Clary	59149	Le Pen	407
Clary	59149	Macron	216
Cobrieux	59150	Macron	273
Cobrieux	59150	Le Pen	98
Colleret	59151	Le Pen	518
Colleret	59151	Macron	289
Comines	59152	Macron	3121
Comines	59152	Le Pen	3073
Condé-sur-l'Escaut	59153	Le Pen	2025
Condé-sur-l'Escaut	59153	Macron	1341
Coudekerque-Branche	59155	Le Pen	6053
Coudekerque-Branche	59155	Macron	4524
Courchelettes	59156	Le Pen	932
Courchelettes	59156	Macron	580
Cousolre	59157	Le Pen	589
Cousolre	59157	Macron	370
Coutiches	59158	Macron	1027
Coutiches	59158	Le Pen	863
Craywick	59159	Le Pen	264
Craywick	59159	Macron	135
Crespin	59160	Le Pen	1193
Crespin	59160	Macron	660
Crochte	59162	Macron	222
Crochte	59162	Le Pen	180
Croix	59163	Macron	6548
Croix	59163	Le Pen	2989
Croix-Caluyau	59164	Le Pen	84
Croix-Caluyau	59164	Macron	71
Crèvecoeur-sur-l'Escaut	59161	Le Pen	241
Crèvecoeur-sur-l'Escaut	59161	Macron	159
Cuincy	59165	Macron	1762
Cuincy	59165	Le Pen	1654
Curgies	59166	Macron	444
Curgies	59166	Le Pen	339
Cuvillers	59167	Le Pen	65
Cuvillers	59167	Macron	55
Cysoing	59168	Macron	1869
Cysoing	59168	Le Pen	1026
Damousies	59169	Le Pen	67
Damousies	59169	Macron	55
Dechy	59170	Le Pen	1467
Dechy	59170	Macron	788
Dehéries	59171	Macron	17
Dehéries	59171	Le Pen	12
Denain	59172	Le Pen	4061
Denain	59172	Macron	2643
Deûlémont	59173	Macron	600
Deûlémont	59173	Le Pen	476
Dimechaux	59174	Le Pen	100
Dimechaux	59174	Macron	85
Dimont	59175	Macron	94
Dimont	59175	Le Pen	87
Doignies	59176	Le Pen	158
Doignies	59176	Macron	70
Dompierre-sur-Helpe	59177	Le Pen	268
Dompierre-sur-Helpe	59177	Macron	177
Don	59670	Macron	439
Don	59670	Le Pen	353
Douai	59178	Macron	8187
Douai	59178	Le Pen	7322
Douchy-les-Mines	59179	Le Pen	2909
Douchy-les-Mines	59179	Macron	1572
Dourlers	59181	Le Pen	160
Dourlers	59181	Macron	147
Drincham	59182	Le Pen	76
Drincham	59182	Macron	64
Dunkerque	59183	Macron	20417
Dunkerque	59183	Le Pen	19343
Ebblinghem	59184	Le Pen	212
Ebblinghem	59184	Macron	144
Ecaillon	59185	Le Pen	606
Ecaillon	59185	Macron	343
Eccles	59186	Le Pen	27
Eccles	59186	Macron	20
Eclaibes	59187	Le Pen	93
Eclaibes	59187	Macron	88
Ecuélin	59188	Le Pen	54
Ecuélin	59188	Macron	26
Eecke	59189	Macron	382
Eecke	59189	Le Pen	360
Elesmes	59190	Le Pen	316
Elesmes	59190	Macron	249
Elincourt	59191	Le Pen	256
Elincourt	59191	Macron	97
Emerchicourt	59192	Le Pen	335
Emerchicourt	59192	Macron	143
Emmerin	59193	Macron	1084
Emmerin	59193	Le Pen	629
Englefontaine	59194	Le Pen	402
Englefontaine	59194	Macron	287
Englos	59195	Macron	244
Englos	59195	Le Pen	132
Ennetières-en-Weppes	59196	Macron	584
Ennetières-en-Weppes	59196	Le Pen	238
Ennevelin	59197	Macron	997
Ennevelin	59197	Le Pen	492
Eppe-Sauvage	59198	Macron	45
Eppe-Sauvage	59198	Le Pen	41
Erchin	59199	Macron	211
Erchin	59199	Le Pen	208
Eringhem	59200	Le Pen	192
Eringhem	59200	Macron	104
Erquinghem-Lys	59202	Macron	1478
Erquinghem-Lys	59202	Le Pen	1327
Erquinghem-le-Sec	59201	Macron	247
Erquinghem-le-Sec	59201	Le Pen	122
Erre	59203	Le Pen	552
Erre	59203	Macron	290
Escarmain	59204	Le Pen	183
Escarmain	59204	Macron	109
Escaudain	59205	Le Pen	2541
Escaudain	59205	Macron	1229
Escaudoeuvres	59206	Le Pen	948
Escaudoeuvres	59206	Macron	603
Escautpont	59207	Le Pen	1434
Escautpont	59207	Macron	602
Escobecques	59208	Macron	153
Escobecques	59208	Le Pen	71
Esnes	59209	Le Pen	219
Esnes	59209	Macron	143
Esquelbecq	59210	Macron	709
Esquelbecq	59210	Le Pen	566
Esquerchin	59211	Le Pen	247
Esquerchin	59211	Macron	220
Estaires	59212	Le Pen	2137
Estaires	59212	Macron	1532
Estourmel	59213	Le Pen	142
Estourmel	59213	Macron	141
Estreux	59215	Macron	342
Estreux	59215	Le Pen	252
Estrun	59219	Le Pen	286
Estrun	59219	Macron	138
Estrées	59214	Le Pen	365
Estrées	59214	Macron	272
Eswars	59216	Le Pen	140
Eswars	59216	Macron	85
Eth	59217	Macron	107
Eth	59217	Le Pen	94
Etroeungt	59218	Le Pen	405
Etroeungt	59218	Macron	267
Faches-Thumesnil	59220	Macron	5394
Faches-Thumesnil	59220	Le Pen	2638
Famars	59221	Macron	694
Famars	59221	Le Pen	543
Faumont	59222	Macron	765
Faumont	59222	Le Pen	588
Feignies	59225	Le Pen	1740
Feignies	59225	Macron	1133
Felleries	59226	Le Pen	375
Felleries	59226	Macron	263
Fenain	59227	Le Pen	1921
Fenain	59227	Macron	861
Ferrière-la-Grande	59230	Le Pen	1661
Ferrière-la-Grande	59230	Macron	840
Ferrière-la-Petite	59231	Le Pen	347
Ferrière-la-Petite	59231	Macron	187
Flaumont-Waudrechies	59233	Le Pen	118
Flaumont-Waudrechies	59233	Macron	55
Flers-en-Escrebieux	59234	Le Pen	1525
Flers-en-Escrebieux	59234	Macron	939
Flesquières	59236	Le Pen	83
Flesquières	59236	Macron	64
Flines-lez-Raches	59239	Le Pen	1598
Flines-lez-Raches	59239	Macron	1549
Flines-lès-Mortagne	59238	Le Pen	439
Flines-lès-Mortagne	59238	Macron	380
Floursies	59240	Le Pen	49
Floursies	59240	Macron	35
Floyon	59241	Le Pen	151
Floyon	59241	Macron	83
Flêtre	59237	Le Pen	274
Flêtre	59237	Macron	260
Fontaine-Notre-Dame	59244	Le Pen	584
Fontaine-Notre-Dame	59244	Macron	401
Fontaine-au-Bois	59242	Le Pen	292
Fontaine-au-Bois	59242	Macron	136
Fontaine-au-Pire	59243	Le Pen	407
Fontaine-au-Pire	59243	Macron	185
Forest-en-Cambrésis	59246	Le Pen	185
Forest-en-Cambrésis	59246	Macron	119
Forest-sur-Marque	59247	Macron	659
Forest-sur-Marque	59247	Le Pen	283
Fourmies	59249	Le Pen	3462
Fourmies	59249	Macron	1747
Fournes-en-Weppes	59250	Macron	917
Fournes-en-Weppes	59250	Le Pen	416
Frasnoy	59251	Le Pen	129
Frasnoy	59251	Macron	77
Frelinghien	59252	Macron	942
Frelinghien	59252	Le Pen	596
Fresnes-sur-Escaut	59253	Le Pen	2099
Fresnes-sur-Escaut	59253	Macron	989
Fressain	59254	Le Pen	316
Fressain	59254	Macron	201
Fressies	59255	Le Pen	245
Fressies	59255	Macron	96
Fretin	59256	Macron	1160
Fretin	59256	Le Pen	678
Fromelles	59257	Macron	421
Fromelles	59257	Le Pen	252
Féchain	59224	Le Pen	564
Féchain	59224	Macron	276
Férin	59228	Le Pen	476
Férin	59228	Macron	399
Féron	59229	Macron	162
Féron	59229	Le Pen	149
Genech	59258	Macron	1034
Genech	59258	Le Pen	452
Ghissignies	59259	Macron	176
Ghissignies	59259	Le Pen	134
Ghyvelde	59260	Le Pen	1081
Ghyvelde	59260	Macron	759
Glageon	59261	Le Pen	517
Glageon	59261	Macron	232
Godewaersvelde	59262	Macron	602
Godewaersvelde	59262	Le Pen	556
Goeulzin	59263	Le Pen	358
Goeulzin	59263	Macron	278
Gognies-Chaussée	59264	Le Pen	196
Gognies-Chaussée	59264	Macron	139
Gommegnies	59265	Le Pen	707
Gommegnies	59265	Macron	572
Gondecourt	59266	Macron	1472
Gondecourt	59266	Le Pen	973
Gonnelieu	59267	Le Pen	108
Gonnelieu	59267	Macron	57
Gouzeaucourt	59269	Le Pen	486
Gouzeaucourt	59269	Macron	306
Grand-Fayt	59270	Le Pen	170
Grand-Fayt	59270	Macron	97
Grand-Fort-Philippe	59272	Le Pen	1914
Grand-Fort-Philippe	59272	Macron	844
Grande-Synthe	59271	Le Pen	4105
Grande-Synthe	59271	Macron	3925
Gravelines	59273	Le Pen	3849
Gravelines	59273	Macron	2341
Gruson	59275	Macron	677
Gruson	59275	Le Pen	164
Guesnain	59276	Le Pen	1505
Guesnain	59276	Macron	808
Gussignies	59277	Macron	78
Gussignies	59277	Le Pen	60
Hallennes-lez-Haubourdin	59278	Macron	1344
Hallennes-lez-Haubourdin	59278	Le Pen	1091
Halluin	59279	Macron	4951
Halluin	59279	Le Pen	4546
Hamel	59280	Le Pen	304
Hamel	59280	Macron	164
Hantay	59281	Macron	350
Hantay	59281	Le Pen	315
Hardifort	59282	Le Pen	135
Hardifort	59282	Macron	117
Hargnies	59283	Le Pen	222
Hargnies	59283	Macron	136
Hasnon	59284	Le Pen	1215
Hasnon	59284	Macron	953
Haspres	59285	Le Pen	889
Haspres	59285	Macron	485
Haubourdin	59286	Macron	3180
Haubourdin	59286	Le Pen	3162
Haucourt-en-Cambrésis	59287	Le Pen	100
Haucourt-en-Cambrésis	59287	Macron	30
Haulchin	59288	Le Pen	807
Haulchin	59288	Macron	417
Haussy	59289	Le Pen	456
Haussy	59289	Macron	303
Haut-Lieu	59290	Le Pen	133
Haut-Lieu	59290	Macron	87
Hautmont	59291	Le Pen	3390
Hautmont	59291	Macron	1917
Haveluy	59292	Le Pen	1029
Haveluy	59292	Macron	435
Haverskerque	59293	Le Pen	444
Haverskerque	59293	Macron	383
Haynecourt	59294	Le Pen	130
Haynecourt	59294	Macron	78
Hazebrouck	59295	Le Pen	5726
Hazebrouck	59295	Macron	5585
Hecq	59296	Le Pen	127
Hecq	59296	Macron	89
Hem	59299	Macron	6302
Hem	59299	Le Pen	2684
Hem-Lenglet	59300	Le Pen	211
Hem-Lenglet	59300	Macron	108
Hergnies	59301	Le Pen	1360
Hergnies	59301	Macron	838
Herlies	59303	Macron	822
Herlies	59303	Le Pen	542
Herrin	59304	Macron	178
Herrin	59304	Le Pen	94
Herzeele	59305	Le Pen	499
Herzeele	59305	Macron	481
Hestrud	59306	Le Pen	64
Hestrud	59306	Macron	59
Holque	59307	Le Pen	362
Holque	59307	Macron	165
Hon-Hergies	59310	Le Pen	200
Hon-Hergies	59310	Macron	137
Hondeghem	59308	Macron	366
Hondeghem	59308	Le Pen	224
Hondschoote	59309	Le Pen	1184
Hondschoote	59309	Macron	819
Honnechy	59311	Le Pen	213
Honnechy	59311	Macron	56
Honnecourt-sur-Escaut	59312	Le Pen	248
Honnecourt-sur-Escaut	59312	Macron	116
Hordain	59313	Le Pen	558
Hordain	59313	Macron	259
Hornaing	59314	Le Pen	1269
Hornaing	59314	Macron	626
Houdain-lez-Bavay	59315	Le Pen	252
Houdain-lez-Bavay	59315	Macron	208
Houplin-Ancoisne	59316	Macron	1107
Houplin-Ancoisne	59316	Le Pen	869
Houplines	59317	Le Pen	1845
Houplines	59317	Macron	1826
Houtkerque	59318	Le Pen	328
Houtkerque	59318	Macron	203
Hoymille	59319	Macron	1008
Hoymille	59319	Le Pen	980
Hélesmes	59297	Le Pen	668
Hélesmes	59297	Macron	365
Hérin	59302	Le Pen	1301
Hérin	59302	Macron	674
Illies	59320	Macron	438
Illies	59320	Le Pen	433
Inchy	59321	Le Pen	239
Inchy	59321	Macron	118
Iwuy	59322	Le Pen	1248
Iwuy	59322	Macron	546
Jenlain	59323	Macron	369
Jenlain	59323	Le Pen	317
Jeumont	59324	Le Pen	2205
Jeumont	59324	Macron	1462
Jolimetz	59325	Macron	283
Jolimetz	59325	Le Pen	267
Killem	59326	Le Pen	378
Killem	59326	Macron	227
La Bassée	59051	Le Pen	1656
La Bassée	59051	Macron	1371
La Chapelle-d'Armentières	59143	Macron	2498
La Chapelle-d'Armentières	59143	Le Pen	1864
La Flamengrie	59232	Le Pen	119
La Flamengrie	59232	Macron	114
La Gorgue	59268	Le Pen	1783
La Gorgue	59268	Macron	1140
La Groise	59274	Le Pen	164
La Groise	59274	Macron	81
La Longueville	59357	Le Pen	639
La Longueville	59357	Macron	459
La Madeleine	59368	Macron	7927
La Madeleine	59368	Le Pen	2627
La Neuville	59427	Macron	238
La Neuville	59427	Le Pen	150
La Sentinelle	59564	Le Pen	893
La Sentinelle	59564	Macron	513
Lallaing	59327	Le Pen	2239
Lallaing	59327	Macron	949
Lambersart	59328	Macron	11170
Lambersart	59328	Le Pen	3213
Lambres-lez-Douai	59329	Le Pen	1343
Lambres-lez-Douai	59329	Macron	1131
Landas	59330	Macron	856
Landas	59330	Le Pen	675
Landrecies	59331	Le Pen	1104
Landrecies	59331	Macron	642
Lannoy	59332	Macron	400
Lannoy	59332	Le Pen	278
Larouillies	59333	Le Pen	75
Larouillies	59333	Macron	55
Lauwin-Planque	59334	Le Pen	516
Lauwin-Planque	59334	Macron	465
Le Cateau-Cambrésis	59136	Le Pen	1899
Le Cateau-Cambrésis	59136	Macron	960
Le Doulieu	59180	Macron	495
Le Doulieu	59180	Le Pen	370
Le Favril	59223	Le Pen	165
Le Favril	59223	Macron	107
Le Maisnil	59371	Macron	296
Le Maisnil	59371	Le Pen	116
Le Quesnoy	59481	Le Pen	1283
Le Quesnoy	59481	Macron	992
