city	code	votes_r1	votes_r2	le_pen_r2	macron_r2	le_pen_r1	macron_r1	melenchon_r1	zemmour_r1	pecresse_r1	roussel_r1	jadot_r1	lassalle_r1	dupont-aignan_r1	hidalgo_r1	poutou_r1	arthaud_r1
Dehéries	59171	29	29	0.41	0.59	0.31	0.52	0.03	0.03	0	0.03	0	0.07	0	0	0	0
Denain	59172	7132	6704	0.61	0.39	0.42	0.15	0.29	0.04	0.01	0.04	0.01	0.01	0.01	0.01	0.01	0.01
Deûlémont	59173	1122	1076	0.44	0.56	0.27	0.36	0.13	0.06	0.05	0.02	0.03	0.02	0.03	0.01	0.01	0.01
Dimechaux	59174	182	185	0.54	0.46	0.35	0.27	0.09	0.08	0.06	0.02	0.07	0.04	0.02	0	0	0
Dimont	59175	190	181	0.48	0.52	0.26	0.34	0.13	0.06	0.08	0.03	0.03	0.03	0.03	0.01	0	0.01
Doignies	59176	225	228	0.69	0.31	0.47	0.23	0.08	0.06	0.03	0.03	0.02	0.03	0.03	0.01	0.01	0.01
Dompierre-sur-Helpe	59177	462	445	0.6	0.4	0.38	0.23	0.15	0.05	0.05	0.03	0.01	0.03	0.02	0.01	0.01	0.02
Don	59670	827	792	0.45	0.55	0.29	0.3	0.17	0.06	0.03	0.03	0.05	0.01	0.02	0.02	0.01	0.01
Douai	59178	16947	15509	0.47	0.53	0.28	0.24	0.27	0.06	0.03	0.03	0.04	0.01	0.01	0.02	0.01	0.01
Douchy-les-Mines	59179	4726	4481	0.65	0.35	0.45	0.13	0.24	0.04	0.01	0.07	0.02	0.01	0.01	0.01	0.01	0.01
Dourlers	59181	321	307	0.52	0.48	0.34	0.29	0.08	0.09	0.06	0.03	0.02	0.03	0.04	0.01	0	0
Drincham	59182	158	140	0.54	0.46	0.32	0.22	0.22	0.02	0.05	0.03	0.04	0.05	0.02	0.03	0	0.01
Dunkerque	59183	41767	39760	0.49	0.51	0.3	0.27	0.22	0.06	0.03	0.03	0.03	0.02	0.02	0.02	0.01	0.01
Ebblinghem	59184	375	356	0.6	0.4	0.38	0.25	0.14	0.06	0.02	0.02	0.02	0.04	0.03	0.01	0.01	0.01
Ecaillon	59185	977	949	0.64	0.36	0.44	0.2	0.19	0.04	0.01	0.04	0.02	0.02	0.02	0.01	0	0
Eccles	59186	49	47	0.57	0.43	0.27	0.16	0.12	0.1	0.1	0.06	0.02	0.1	0.06	0	0	0
Eclaibes	59187	186	181	0.51	0.49	0.31	0.32	0.1	0.08	0.05	0.03	0.02	0.02	0.05	0	0.01	0.01
Ecuélin	59188	72	80	0.68	0.32	0.49	0.18	0.07	0.11	0.01	0.04	0	0.06	0.03	0	0.01	0
Eecke	59189	761	742	0.49	0.51	0.3	0.28	0.16	0.06	0.06	0.01	0.04	0.04	0.03	0.01	0	0
Elesmes	59190	583	565	0.56	0.44	0.37	0.25	0.13	0.08	0.04	0.02	0.03	0.02	0.01	0.01	0.01	0.01
Elincourt	59191	344	353	0.73	0.27	0.52	0.21	0.1	0.06	0.01	0.01	0.01	0.03	0.03	0.01	0.01	0
Emerchicourt	59192	509	478	0.7	0.3	0.42	0.13	0.16	0.06	0.02	0.14	0.01	0.02	0.02	0.01	0	0.01
Emmerin	59193	1882	1713	0.37	0.63	0.21	0.34	0.21	0.06	0.04	0.02	0.06	0.02	0.01	0.01	0	0.01
Englefontaine	59194	731	689	0.58	0.42	0.38	0.23	0.15	0.07	0.03	0.05	0.03	0.02	0.02	0.01	0.01	0
Englos	59195	387	376	0.35	0.65	0.18	0.43	0.14	0.1	0.06	0.01	0.03	0.01	0.02	0.02	0	0
Ennetières-en-Weppes	59196	853	822	0.29	0.71	0.16	0.43	0.11	0.09	0.07	0.02	0.05	0.03	0.03	0.01	0	0
Ennevelin	59197	1510	1489	0.33	0.67	0.22	0.36	0.15	0.07	0.05	0.02	0.06	0.03	0.02	0.01	0.01	0
Eppe-Sauvage	59198	98	86	0.48	0.52	0.29	0.19	0.21	0.07	0.07	0.02	0.05	0.01	0.02	0.05	0.01	0
Erchin	59199	435	419	0.5	0.5	0.29	0.32	0.14	0.07	0.06	0.03	0.03	0.03	0.02	0	0.01	0
Eringhem	59200	292	296	0.65	0.35	0.42	0.21	0.12	0.05	0.05	0.02	0.01	0.06	0.03	0.01	0	0
Erquinghem-Lys	59202	2889	2805	0.47	0.53	0.3	0.31	0.16	0.06	0.03	0.03	0.04	0.02	0.02	0.01	0.01	0.01
Erquinghem-le-Sec	59201	380	369	0.33	0.67	0.18	0.41	0.13	0.09	0.07	0.02	0.07	0.01	0.01	0.01	0.01	0.01
Erre	59203	895	842	0.66	0.34	0.41	0.19	0.16	0.08	0.02	0.05	0.03	0.02	0.02	0.01	0.01	0
Escarmain	59204	309	292	0.63	0.37	0.39	0.19	0.17	0.08	0.06	0.02	0.02	0.03	0.02	0.01	0	0
Escaudain	59205	3984	3770	0.67	0.33	0.46	0.14	0.21	0.04	0.01	0.07	0.01	0.01	0.01	0.01	0.01	0.01
Escaudoeuvres	59206	1637	1551	0.61	0.39	0.37	0.24	0.16	0.06	0.02	0.05	0.02	0.02	0.02	0.01	0.01	0.01
Escautpont	59207	2152	2036	0.7	0.3	0.46	0.16	0.16	0.05	0.01	0.12	0.01	0.01	0.01	0	0	0.01
Escobecques	59208	230	224	0.32	0.68	0.18	0.44	0.1	0.06	0.1	0.02	0.06	0.02	0.02	0.01	0	0
Esnes	59209	371	362	0.6	0.4	0.43	0.22	0.12	0.08	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Esquelbecq	59210	1324	1275	0.44	0.56	0.27	0.31	0.14	0.07	0.05	0.03	0.04	0.03	0.02	0.02	0.01	0.01
Esquerchin	59211	496	467	0.53	0.47	0.36	0.25	0.15	0.06	0.04	0.03	0.05	0.02	0.01	0.01	0	0.01
Estaires	59212	3744	3669	0.58	0.42	0.4	0.26	0.14	0.06	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Estourmel	59213	296	283	0.5	0.5	0.3	0.29	0.1	0.08	0.06	0.06	0.03	0.02	0.03	0.02	0	0
Estreux	59215	621	594	0.42	0.58	0.24	0.34	0.13	0.08	0.05	0.05	0.04	0.02	0.02	0.01	0.01	0.01
Estrun	59219	434	424	0.67	0.33	0.42	0.2	0.1	0.09	0.05	0.06	0.02	0.03	0.02	0	0	0
Estrées	59214	687	637	0.57	0.43	0.4	0.23	0.17	0.06	0.03	0.02	0.03	0.02	0.01	0.01	0.01	0.01
Eswars	59216	230	225	0.62	0.38	0.37	0.24	0.13	0.07	0.05	0.06	0.02	0.03	0.01	0.01	0	0
Eth	59217	213	201	0.47	0.53	0.32	0.3	0.05	0.07	0.06	0.05	0.05	0.04	0.04	0.01	0	0
Etroeungt	59218	668	672	0.6	0.4	0.36	0.28	0.1	0.08	0.06	0.01	0.02	0.02	0.03	0.01	0.01	0.01
Faches-Thumesnil	59220	8740	8032	0.33	0.67	0.19	0.27	0.34	0.05	0.02	0.03	0.05	0.02	0.01	0.02	0	0
Famars	59221	1309	1237	0.44	0.56	0.25	0.34	0.14	0.08	0.04	0.04	0.03	0.04	0.02	0.02	0	0.01
Faumont	59222	1402	1353	0.43	0.57	0.31	0.34	0.12	0.05	0.03	0.03	0.05	0.03	0.02	0.01	0.01	0.01
Feignies	59225	3105	2873	0.61	0.39	0.41	0.18	0.22	0.06	0.02	0.03	0.02	0.02	0.01	0.01	0.01	0.01
Felleries	59226	693	638	0.59	0.41	0.38	0.24	0.15	0.05	0.04	0.04	0.01	0.03	0.02	0.01	0.01	0
Fenain	59227	2904	2782	0.69	0.31	0.46	0.16	0.19	0.05	0.01	0.06	0.02	0.02	0.02	0.01	0	0
Ferrière-la-Grande	59230	2579	2501	0.66	0.34	0.47	0.2	0.16	0.05	0.03	0.03	0.01	0.01	0.02	0.01	0.01	0.01
Ferrière-la-Petite	59231	561	534	0.65	0.35	0.41	0.17	0.16	0.08	0.02	0.04	0.02	0.03	0.03	0.02	0.01	0.01
Flaumont-Waudrechies	59233	195	173	0.68	0.32	0.43	0.22	0.18	0.03	0.04	0	0.02	0.03	0.01	0.01	0.02	0.02
Flers-en-Escrebieux	59234	2588	2464	0.62	0.38	0.41	0.18	0.25	0.05	0.02	0.03	0.02	0.02	0.01	0.01	0.01	0
Flesquières	59236	153	147	0.56	0.44	0.36	0.24	0.13	0.07	0.05	0.03	0.05	0.02	0.01	0.01	0.01	0.02
Flines-lez-Raches	59239	3241	3147	0.51	0.49	0.33	0.28	0.14	0.07	0.03	0.05	0.04	0.02	0.02	0.02	0.01	0.01
Flines-lès-Mortagne	59238	829	819	0.54	0.46	0.32	0.24	0.13	0.06	0.02	0.14	0.05	0.01	0.02	0.01	0.01	0
Floursies	59240	90	84	0.58	0.42	0.37	0.23	0.14	0.02	0.04	0.02	0.06	0.09	0	0	0.02	0
Floyon	59241	247	234	0.65	0.35	0.44	0.24	0.1	0.06	0.02	0.01	0.02	0.04	0.04	0.01	0	0.01
Flêtre	59237	563	534	0.51	0.49	0.33	0.27	0.15	0.07	0.05	0.02	0.05	0.02	0.04	0.01	0	0
Fontaine-Notre-Dame	59244	1010	985	0.59	0.41	0.39	0.25	0.13	0.06	0.05	0.02	0.02	0.02	0.02	0.02	0	0
Fontaine-au-Bois	59242	433	428	0.68	0.32	0.43	0.21	0.1	0.09	0.05	0.03	0.03	0.04	0.01	0.01	0	0
Fontaine-au-Pire	59243	603	592	0.69	0.31	0.48	0.2	0.12	0.05	0.03	0.04	0.02	0.02	0.01	0.01	0	0.01
Forest-en-Cambrésis	59246	310	304	0.61	0.39	0.43	0.25	0.07	0.05	0.09	0.05	0.01	0.03	0.01	0.01	0.01	0
Forest-sur-Marque	59247	980	942	0.3	0.7	0.18	0.42	0.17	0.07	0.02	0.02	0.06	0.02	0.01	0.02	0.01	0.01
Fourmies	59249	5342	5209	0.66	0.34	0.45	0.21	0.15	0.05	0.02	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Fournes-en-Weppes	59250	1382	1333	0.31	0.69	0.18	0.43	0.11	0.07	0.07	0.03	0.05	0.02	0.02	0.01	0.01	0.01
Frasnoy	59251	215	206	0.63	0.37	0.37	0.2	0.14	0.07	0.03	0.06	0.05	0.05	0.02	0.01	0	0
Frelinghien	59252	1550	1538	0.39	0.61	0.26	0.36	0.12	0.07	0.05	0.02	0.06	0.03	0.01	0.02	0.01	0
Fresnes-sur-Escaut	59253	3204	3088	0.68	0.32	0.45	0.16	0.16	0.05	0.02	0.12	0.01	0.01	0.01	0	0	0
Fressain	59254	543	517	0.61	0.39	0.41	0.24	0.1	0.06	0.03	0.05	0.03	0.03	0.02	0.01	0	0.01
Fressies	59255	350	341	0.72	0.28	0.51	0.18	0.09	0.07	0.04	0.04	0.01	0.01	0.02	0.01	0	0
Fretin	59256	1910	1838	0.37	0.63	0.22	0.32	0.2	0.05	0.04	0.03	0.06	0.02	0.01	0.03	0.01	0.01
Fromelles	59257	695	673	0.37	0.63	0.23	0.37	0.12	0.08	0.06	0.02	0.04	0.03	0.02	0.01	0.01	0
Féchain	59224	877	840	0.67	0.33	0.45	0.2	0.12	0.07	0.03	0.06	0.02	0.03	0.01	0.01	0	0
Férin	59228	921	875	0.54	0.46	0.35	0.25	0.12	0.06	0.04	0.05	0.04	0.03	0.03	0.01	0.01	0
Féron	59229	331	311	0.48	0.52	0.31	0.31	0.17	0.05	0.04	0.01	0.02	0.02	0.04	0.01	0.01	0.01
Genech	59258	1535	1486	0.3	0.7	0.18	0.41	0.15	0.06	0.04	0.03	0.05	0.02	0.02	0.02	0	0
Ghissignies	59259	332	310	0.43	0.57	0.27	0.33	0.15	0.06	0.05	0.04	0.05	0.02	0.01	0.01	0.01	0
Ghyvelde	59260	2505	1840	0.59	0.41	0.35	0.25	0.16	0.08	0.04	0.02	0.02	0.03	0.02	0.01	0.01	0.01
Glageon	59261	787	749	0.69	0.31	0.46	0.23	0.13	0.06	0.04	0.01	0.02	0.03	0.02	0.01	0	0.01
Godewaersvelde	59262	1195	1158	0.48	0.52	0.29	0.29	0.16	0.05	0.04	0.04	0.04	0.02	0.02	0.03	0	0.01
Goeulzin	59263	664	636	0.56	0.44	0.38	0.25	0.13	0.09	0.03	0.04	0.04	0.02	0.02	0.01	0	0
Gognies-Chaussée	59264	353	335	0.59	0.41	0.36	0.27	0.15	0.08	0.01	0.03	0.01	0.02	0.03	0.01	0.01	0.01
Gommegnies	59265	1344	1279	0.55	0.45	0.32	0.26	0.17	0.07	0.04	0.04	0.04	0.02	0.02	0.01	0.01	0.01
Gondecourt	59266	2533	2445	0.4	0.6	0.25	0.34	0.16	0.05	0.04	0.03	0.05	0.02	0.02	0.02	0.01	0.01
Gonnelieu	59267	176	165	0.65	0.35	0.47	0.18	0.12	0.06	0.05	0.01	0.01	0.04	0.01	0.01	0.01	0.02
Gouzeaucourt	59269	787	792	0.61	0.39	0.37	0.25	0.12	0.05	0.03	0.03	0.02	0.07	0.02	0.01	0.01	0.01
Grand-Fayt	59270	281	267	0.64	0.36	0.4	0.16	0.2	0.04	0.02	0.05	0.03	0.05	0.03	0.01	0	0
Grand-Fort-Philippe	59272	2817	2758	0.69	0.31	0.47	0.19	0.13	0.06	0.02	0.03	0.01	0.02	0.02	0.02	0.01	0.01
Grande-Synthe	59271	9117	8030	0.51	0.49	0.29	0.15	0.42	0.03	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01
Gravelines	59273	6424	6190	0.62	0.38	0.4	0.2	0.16	0.06	0.02	0.04	0.02	0.03	0.02	0.03	0.01	0.01
Gruson	59275	867	841	0.2	0.8	0.12	0.5	0.11	0.07	0.07	0.02	0.05	0.02	0.02	0.02	0	0
Guesnain	59276	2522	2313	0.65	0.35	0.4	0.16	0.22	0.04	0.01	0.1	0.02	0.02	0.01	0.01	0.01	0.01
Gussignies	59277	127	138	0.43	0.57	0.25	0.37	0.16	0.06	0.02	0.04	0.04	0.02	0.02	0.02	0	0.02
Hallennes-lez-Haubourdin	59278	2573	2435	0.45	0.55	0.29	0.29	0.18	0.05	0.04	0.04	0.05	0.02	0.01	0.02	0.01	0.01
Halluin	59279	10116	9497	0.48	0.52	0.3	0.28	0.21	0.07	0.03	0.02	0.03	0.02	0.01	0.01	0.01	0
Hamel	59280	490	468	0.65	0.35	0.45	0.19	0.15	0.07	0.04	0.04	0.01	0.02	0.02	0.01	0	0
Hantay	59281	694	665	0.47	0.53	0.27	0.28	0.19	0.08	0.03	0.03	0.04	0.02	0.02	0.02	0.01	0.01
Hardifort	59282	263	252	0.54	0.46	0.34	0.24	0.16	0.03	0.09	0.03	0.02	0.02	0.04	0.02	0	0
Hargnies	59283	355	358	0.62	0.38	0.43	0.28	0.06	0.06	0.05	0.03	0.02	0.02	0.02	0.02	0.01	0.01
Hasnon	59284	2275	2168	0.56	0.44	0.31	0.22	0.15	0.06	0.02	0.14	0.03	0.02	0.01	0.01	0	0.01
Haspres	59285	1441	1374	0.65	0.35	0.43	0.2	0.14	0.06	0.02	0.06	0.02	0.01	0.02	0.01	0.01	0
Haubourdin	59286	6781	6342	0.5	0.5	0.31	0.25	0.22	0.05	0.03	0.03	0.04	0.02	0.02	0.02	0.01	0.01
Haucourt-en-Cambrésis	59287	125	130	0.77	0.23	0.53	0.16	0.11	0.08	0.06	0.01	0.02	0.02	0	0	0.01	0
Haulchin	59288	1225	1224	0.66	0.34	0.45	0.18	0.18	0.05	0.02	0.05	0.01	0.02	0.01	0.01	0.01	0.01
Haussy	59289	791	759	0.6	0.4	0.41	0.22	0.14	0.06	0.01	0.05	0.03	0.01	0.02	0.01	0.01	0.01
Haut-Lieu	59290	231	220	0.6	0.4	0.37	0.24	0.15	0.09	0.05	0.03	0.02	0.02	0.02	0.01	0	0
Hautmont	59291	5713	5307	0.64	0.36	0.43	0.16	0.24	0.06	0.02	0.03	0.01	0.01	0.01	0.01	0	0.01
Haveluy	59292	1649	1464	0.7	0.3	0.45	0.12	0.26	0.04	0.01	0.06	0.01	0.02	0.02	0.01	0.01	0.01
Haverskerque	59293	815	827	0.54	0.46	0.37	0.28	0.13	0.04	0.03	0.03	0.02	0.05	0.01	0.02	0.01	0.01
Haynecourt	59294	215	208	0.62	0.38	0.4	0.21	0.13	0.04	0.1	0.04	0.02	0.01	0.01	0.02	0	0
Hazebrouck	59295	11730	11311	0.51	0.49	0.33	0.28	0.18	0.05	0.04	0.02	0.03	0.02	0.02	0.02	0.01	0.01
Hecq	59296	217	216	0.59	0.41	0.36	0.24	0.18	0.07	0.02	0.03	0.02	0.04	0.02	0	0.01	0
Hem	59299	9922	8986	0.3	0.7	0.17	0.33	0.3	0.06	0.04	0.02	0.05	0.01	0.01	0.01	0.01	0
Hem-Lenglet	59300	330	319	0.66	0.34	0.47	0.19	0.12	0.04	0.05	0.05	0.01	0.03	0.02	0.01	0	0.01
Hergnies	59301	2253	2198	0.62	0.38	0.38	0.22	0.11	0.08	0.02	0.1	0.02	0.02	0.02	0.01	0	0.01
Herlies	59303	1425	1364	0.4	0.6	0.23	0.35	0.14	0.08	0.05	0.03	0.05	0.02	0.02	0.02	0.01	0
Herrin	59304	259	272	0.35	0.65	0.15	0.39	0.11	0.11	0.04	0.02	0.08	0.02	0.03	0.03	0	0
Herzeele	59305	999	980	0.51	0.49	0.35	0.32	0.11	0.05	0.06	0.02	0.02	0.04	0.02	0.01	0	0.01
Hestrud	59306	124	123	0.52	0.48	0.28	0.27	0.13	0.08	0.06	0.05	0.01	0.06	0.04	0.02	0	0
Holque	59307	525	527	0.69	0.31	0.45	0.18	0.14	0.08	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Hon-Hergies	59310	355	337	0.59	0.41	0.37	0.25	0.14	0.07	0.04	0.02	0.03	0.03	0.05	0	0.01	0
Hondeghem	59308	620	590	0.38	0.62	0.22	0.36	0.13	0.05	0.05	0.04	0.05	0.05	0.03	0.01	0.01	0
Hondschoote	59309	2043	2003	0.59	0.41	0.38	0.25	0.16	0.06	0.04	0.02	0.02	0.02	0.02	0.01	0.01	0.01
Honnechy	59311	266	269	0.79	0.21	0.57	0.11	0.11	0.05	0.05	0.01	0.02	0.02	0.04	0.01	0.01	0.01
Honnecourt-sur-Escaut	59312	376	364	0.68	0.32	0.38	0.16	0.12	0.13	0.02	0.03	0.03	0.06	0.03	0.02	0	0.01
Hordain	59313	867	817	0.68	0.32	0.46	0.18	0.13	0.05	0.02	0.07	0.02	0.02	0.02	0.01	0.01	0
Hornaing	59314	1982	1895	0.67	0.33	0.43	0.17	0.17	0.05	0.02	0.06	0.02	0.01	0.01	0.03	0.01	0.01
Houdain-lez-Bavay	59315	446	460	0.55	0.45	0.37	0.23	0.14	0.09	0.03	0.04	0.03	0.03	0.03	0	0.01	0
Houplin-Ancoisne	59316	2067	1976	0.44	0.56	0.28	0.3	0.16	0.06	0.04	0.03	0.07	0.02	0.02	0.02	0.01	0
Houplines	59317	3917	3671	0.5	0.5	0.32	0.25	0.2	0.06	0.02	0.05	0.03	0.02	0.02	0.02	0.01	0.01
Houtkerque	59318	556	531	0.62	0.38	0.34	0.24	0.12	0.09	0.04	0.01	0.03	0.04	0.05	0.01	0.01	0.01
Hoymille	59319	2036	1988	0.49	0.51	0.33	0.32	0.12	0.06	0.04	0.03	0.03	0.02	0.02	0.01	0.01	0
Hélesmes	59297	1068	1033	0.65	0.35	0.45	0.2	0.14	0.07	0.02	0.06	0.02	0.02	0.01	0.01	0	0
Hérin	59302	2097	1975	0.66	0.34	0.43	0.19	0.15	0.06	0.02	0.08	0.02	0.01	0.01	0.01	0.01	0.01
Illies	59320	903	871	0.5	0.5	0.34	0.3	0.13	0.07	0.03	0.05	0.04	0.01	0.02	0.01	0.01	0
Inchy	59321	354	357	0.67	0.33	0.47	0.2	0.09	0.06	0.04	0.03	0.01	0.03	0.04	0.02	0.01	0
Iwuy	59322	1764	1794	0.7	0.3	0.52	0.18	0.12	0.06	0.03	0.03	0.01	0.02	0.02	0.01	0	0
Jenlain	59323	693	686	0.46	0.54	0.29	0.31	0.13	0.06	0.04	0.04	0.05	0.01	0.03	0.01	0.01	0.01
Jeumont	59324	3922	3667	0.6	0.4	0.4	0.17	0.26	0.05	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01
Jolimetz	59325	581	550	0.49	0.51	0.29	0.29	0.13	0.09	0.04	0.04	0.04	0.02	0.03	0.02	0.01	0
Killem	59326	608	605	0.62	0.38	0.44	0.25	0.12	0.04	0.03	0.02	0.01	0.03	0.02	0.01	0.01	0.01
La Bassée	59051	3117	3027	0.55	0.45	0.38	0.26	0.16	0.06	0.03	0.03	0.03	0.01	0.01	0.01	0.01	0.01
La Chapelle-d'Armentières	59143	4603	4362	0.43	0.57	0.27	0.33	0.16	0.07	0.04	0.03	0.04	0.02	0.02	0.02	0	0.01
La Flamengrie	59232	258	233	0.51	0.49	0.33	0.28	0.14	0.03	0.03	0.03	0.06	0.03	0.04	0	0.01	0.01
La Gorgue	59268	3070	2923	0.61	0.39	0.4	0.24	0.14	0.06	0.03	0.03	0.03	0.02	0.02	0.01	0.01	0.01
La Groise	59274	261	245	0.67	0.33	0.41	0.24	0.15	0.06	0.03	0.04	0.03	0.02	0.01	0	0	0.01
La Longueville	59357	1157	1098	0.58	0.42	0.37	0.24	0.14	0.08	0.04	0.03	0.03	0.03	0.02	0.01	0.01	0
La Madeleine	59368	11368	10554	0.25	0.75	0.13	0.36	0.25	0.06	0.05	0.02	0.07	0.01	0.01	0.02	0.01	0
La Neuville	59427	397	388	0.39	0.61	0.25	0.35	0.12	0.09	0.06	0.02	0.03	0.03	0.03	0.02	0.01	0.01
La Sentinelle	59564	1458	1406	0.64	0.36	0.42	0.19	0.2	0.05	0.01	0.06	0.02	0.01	0.01	0.01	0	0.01
Lallaing	59327	3263	3188	0.7	0.3	0.49	0.16	0.17	0.05	0.02	0.05	0.01	0.01	0.02	0.01	0	0.01
Lambersart	59328	15268	14383	0.22	0.78	0.12	0.4	0.21	0.06	0.06	0.02	0.08	0.01	0.01	0.02	0.01	0
Lambres-lez-Douai	59329	2599	2474	0.54	0.46	0.35	0.25	0.17	0.07	0.04	0.03	0.03	0.02	0.02	0.02	0.01	0.01
Landas	59330	1618	1531	0.44	0.56	0.26	0.32	0.13	0.07	0.05	0.04	0.04	0.03	0.03	0.01	0.01	0
Landrecies	59331	1769	1746	0.63	0.37	0.41	0.21	0.16	0.07	0.04	0.03	0.02	0.02	0.02	0.02	0.01	0.01
Lannoy	59332	723	678	0.41	0.59	0.26	0.28	0.24	0.07	0.03	0.03	0.04	0.01	0.02	0.01	0	0.01
Larouillies	59333	148	130	0.58	0.42	0.38	0.3	0.08	0.03	0.03	0.05	0.01	0.05	0.05	0	0	0.01
