code	natl	pop24	dens24	pop20	dens20
59497	BEL	NA	NA	NA	NA
59497	PRT	NA	NA	NA	NA
59497	ROU	NA	NA	NA	NA
59499	BEL	14.92	0.7379	NA	NA
59499	PRT	NA	NA	NA	NA
59500	PRT	NA	NA	NA	NA
59501	BEL	NA	NA	NA	NA
59501	POL	NA	NA	NA	NA
59501	PRT	3.92	0.3091	NA	NA
59502	PRT	NA	NA	NA	NA
59504	BEL	NA	NA	NA	NA
59504	ESP	NA	NA	NA	NA
59504	ITA	13	0.3425	NA	NA
59504	POL	NA	NA	NA	NA
59505	BEL	16.13	2.1308	NA	NA
59505	ITA	NA	NA	NA	NA
59505	PRT	NA	NA	NA	NA
59506	BEL	NA	NA	NA	NA
59507	BEL	30.51	0.1559	37.5	0.1951
59507	DEU	NA	NA	15.04	0.0783
59507	ESP	11.27	0.0576	21.54	0.1121
59507	ITA	21.5	0.1098	27.39	0.1425
59507	NLD	NA	NA	2	0.0104
59507	POL	15.65	0.08	NA	NA
59507	PRT	12.43	0.0635	10.01	0.0521
59507	ROU	35.4	0.1809	79.61	0.4142
59508	BEL	75.72	0.5449	75.84	0.5665
59508	BGR	NA	NA	NA	NA
59508	ESP	23.05	0.1659	25.04	0.187
59508	ITA	35.12	0.2527	46.53	0.3475
59508	NLD	NA	NA	2	0.0149
59508	POL	NA	NA	NA	NA
59508	PRT	76.48	0.5503	80	0.5975
59508	ROU	NA	NA	NA	NA
59509	BEL	7	0.1161	7.06	0.1149
59509	ESP	NA	NA	NA	NA
59509	ITA	27	0.448	29.56	0.4814
59509	POL	6	0.0996	6.38	0.1039
59509	PRT	NA	NA	NA	NA
59511	BEL	6.39	0.3182	NA	NA
59511	ESP	NA	NA	NA	NA
59511	ITA	NA	NA	NA	NA
59511	NLD	NA	NA	NA	NA
59511	POL	NA	NA	NA	NA
59511	PRT	NA	NA	NA	NA
59512	BEL	161.76	0.1629	224.33	0.2313
59512	BGR	54.15	0.0545	NA	NA
59512	DEU	32.62	0.0328	35.66	0.0368
59512	ESP	171.16	0.1723	174.01	0.1794
59512	ITA	433.69	0.4367	494.69	0.51
59512	NLD	29.64	0.0298	42.13	0.0434
59512	POL	18.47	0.0186	48.17	0.0497
59512	PRT	1010.26	1.0172	1207.37	1.2448
59512	ROU	367.54	0.3701	618.86	0.6381
59513	ITA	NA	NA	NA	NA
59513	PRT	NA	NA	NA	NA
59514	BEL	39	0.9524	NA	NA
59514	ESP	5	0.1221	NA	NA
59514	ITA	7	0.1709	NA	NA
59514	POL	NA	NA	NA	NA
59514	PRT	5	0.1221	NA	NA
59515	PRT	NA	NA	NA	NA
59516	BEL	NA	NA	NA	NA
59517	BEL	NA	NA	NA	NA
59517	ITA	NA	NA	NA	NA
59518	ITA	NA	NA	NA	NA
59519	BEL	34	1.9177	NA	NA
59519	ITA	NA	NA	NA	NA
59519	PRT	NA	NA	NA	NA
59520	BEL	NA	NA	NA	NA
59520	PRT	14.06	0.9663	NA	NA
59521	BEL	NA	NA	NA	NA
59521	PRT	5	1.1628	NA	NA
59522	BEL	4.06	0.2042	NA	NA
59522	DEU	NA	NA	NA	NA
59522	ITA	9.14	0.4598	NA	NA
59522	NLD	NA	NA	NA	NA
59522	POL	NA	NA	NA	NA
59522	PRT	14.28	0.7183	NA	NA
59523	BEL	8.25	0.2859	NA	NA
59523	BGR	NA	NA	NA	NA
59523	DEU	NA	NA	NA	NA
59523	ESP	NA	NA	NA	NA
59523	NLD	NA	NA	NA	NA
59523	PRT	NA	NA	NA	NA
59524	BEL	4.08	0.0717	4	0.0716
59524	DEU	NA	NA	2	0.0358
59524	ESP	NA	NA	NA	NA
59524	ITA	NA	NA	NA	NA
59524	POL	NA	NA	NA	NA
59524	PRT	12.3	0.2161	13	0.2327
59525	BEL	12.9	0.4599	NA	NA
59525	ITA	NA	NA	NA	NA
59526	BEL	81.39	0.5037	91.86	0.5781
59526	DEU	NA	NA	9.42	0.0593
59526	ESP	6.54	0.0405	7.63	0.048
59526	ITA	72.45	0.4483	63.1	0.3971
59526	PRT	8.06	0.0499	10.09	0.0635
59526	ROU	11.77	0.0728	2	0.0126
59527	BEL	13.33	0.1021	9.64	0.0764
59527	DEU	NA	NA	2	0.0159
59527	ESP	16.91	0.1295	14.88	0.118
59527	ITA	23.19	0.1777	19.44	0.1542
59527	NLD	NA	NA	NA	NA
59527	POL	NA	NA	6.35	0.0504
59527	PRT	78.88	0.6043	84.98	0.674
59527	ROU	NA	NA	2	0.0159
59528	BEL	NA	NA	NA	NA
59528	ESP	NA	NA	NA	NA
59528	POL	NA	NA	NA	NA
59529	BEL	NA	NA	NA	NA
59529	DEU	NA	NA	NA	NA
59530	BEL	18	5.4054	NA	NA
59530	ITA	NA	NA	NA	NA
59531	BEL	NA	NA	NA	NA
59533	BEL	4.01	0.2551	NA	NA
59533	ESP	NA	NA	NA	NA
59533	ITA	NA	NA	NA	NA
59534	BEL	4.01	0.4872	NA	NA
59534	ITA	NA	NA	NA	NA
59534	NLD	NA	NA	NA	NA
59535	BEL	13.02	0.7709	NA	NA
59535	POL	NA	NA	NA	NA
59535	PRT	NA	NA	NA	NA
59536	BEL	NA	NA	NA	NA
59536	POL	NA	NA	NA	NA
59537	BEL	NA	NA	NA	NA
59537	PRT	NA	NA	NA	NA
59537	ROU	NA	NA	NA	NA
59539	BEL	NA	NA	NA	NA
59541	PRT	NA	NA	NA	NA
59542	BEL	NA	NA	NA	NA
59543	BEL	7.13	0.6596	NA	NA
59543	ESP	NA	NA	NA	NA
59543	NLD	NA	NA	NA	NA
59543	PRT	NA	NA	NA	NA
59544	BEL	64.49	0.5723	66.17	0.5905
59544	BGR	NA	NA	NA	NA
59544	DEU	NA	NA	8.38	0.0748
59544	ESP	9.35	0.083	10.34	0.0923
59544	ITA	26.72	0.2371	36.06	0.3217
59544	POL	13.08	0.1161	NA	NA
59544	PRT	10.97	0.0974	11.37	0.1015
59544	ROU	NA	NA	2	0.0178
59545	BEL	NA	NA	NA	NA
59545	PRT	NA	NA	NA	NA
59546	BEL	NA	NA	NA	NA
59546	ITA	NA	NA	NA	NA
59546	PRT	NA	NA	NA	NA
59548	BEL	22.05	3.3009	NA	NA
59548	DEU	NA	NA	NA	NA
59548	ITA	NA	NA	NA	NA
59549	BEL	NA	NA	NA	NA
59550	NLD	NA	NA	NA	NA
59550	PRT	NA	NA	NA	NA
59551	BEL	10.19	0.5783	NA	NA
59553	BEL	8.41	0.147	9.22	0.1611
59553	ESP	4	0.0699	NA	NA
59553	ITA	8.52	0.149	8.24	0.1439
59553	NLD	NA	NA	2	0.0349
59553	PRT	NA	NA	NA	NA
59553	ROU	6.87	0.1201	6.3	0.11
59554	BEL	NA	NA	NA	NA
59554	ITA	NA	NA	NA	NA
59555	BEL	28.56	1.9916	NA	NA
59555	PRT	NA	NA	NA	NA
59555	ROU	NA	NA	NA	NA
59557	BEL	12.85	0.4973	NA	NA
59557	DEU	4.3	0.1664	NA	NA
59557	ESP	NA	NA	NA	NA
59557	ITA	5.37	0.2078	NA	NA
59557	NLD	NA	NA	NA	NA
59557	POL	NA	NA	NA	NA
59557	PRT	NA	NA	NA	NA
59558	BEL	NA	NA	NA	NA
59558	POL	NA	NA	NA	NA
59558	PRT	NA	NA	NA	NA
59558	ROU	3.97	0.2339	NA	NA
59559	BEL	25.49	1.2625	NA	NA
59559	ESP	NA	NA	NA	NA
59559	ITA	NA	NA	NA	NA
59559	NLD	NA	NA	NA	NA
59559	PRT	NA	NA	NA	NA
59560	BEL	NA	NA	6.01	0.0484
59560	DEU	NA	NA	NA	NA
59560	ESP	NA	NA	10.08	0.0812
59560	ITA	13.33	0.1031	17.58	0.1416
59560	NLD	NA	NA	2	0.0161
59560	POL	NA	NA	NA	NA
59560	PRT	7.21	0.0558	10.35	0.0834
59560	ROU	19.74	0.1527	10.81	0.0871
59562	BEL	12.29	2.2759	NA	NA
59563	BEL	NA	NA	NA	NA
59564	BEL	4.02	0.1273	NA	NA
59564	ESP	NA	NA	NA	NA
59564	ITA	11.19	0.3542	NA	NA
59564	NLD	NA	NA	NA	NA
59564	PRT	5.06	0.1602	NA	NA
59565	BEL	NA	NA	NA	NA
59565	ITA	NA	NA	NA	NA
59566	BEL	9	0.1875	NA	NA
59566	BGR	NA	NA	NA	NA
59566	ITA	5	0.1042	NA	NA
59566	NLD	5	0.1042	NA	NA
59566	POL	NA	NA	NA	NA
59566	PRT	11	0.2292	NA	NA
59566	ROU	8	0.1667	NA	NA
59567	BEL	NA	NA	NA	NA
59567	DEU	NA	NA	NA	NA
59567	ESP	NA	NA	NA	NA
59567	PRT	NA	NA	NA	NA
59567	ROU	NA	NA	NA	NA
59569	BEL	20.99	0.1337	17.91	0.1142
59569	ESP	NA	NA	2	0.0128
59569	ITA	48.86	0.3111	54.11	0.345
59569	POL	19.99	0.1273	NA	NA
59569	PRT	NA	NA	2	0.0128
59569	ROU	11.86	0.0755	NA	NA
59570	BEL	NA	NA	NA	NA
59570	DEU	NA	NA	NA	NA
59571	BEL	NA	NA	NA	NA
59571	ESP	NA	NA	NA	NA
59571	ITA	NA	NA	NA	NA
59571	PRT	NA	NA	NA	NA
59572	BEL	82.85	4.613	NA	NA
59572	DEU	NA	NA	NA	NA
59572	ESP	NA	NA	NA	NA
59572	ITA	NA	NA	NA	NA
59572	NLD	NA	NA	NA	NA
59572	POL	NA	NA	NA	NA
59572	PRT	NA	NA	NA	NA
59573	BEL	17	11.6438	NA	NA
59574	BEL	24.01	0.2021	21.41	0.1762
59574	ESP	10.71	0.0901	10.74	0.0884
59574	ITA	25.94	0.2183	37.87	0.3116
59574	POL	NA	NA	NA	NA
59574	PRT	NA	NA	7.8	0.0642
59574	ROU	NA	NA	NA	NA
59575	BEL	NA	NA	NA	NA
59575	ITA	NA	NA	NA	NA
59575	NLD	NA	NA	NA	NA
59576	BEL	NA	NA	NA	NA
59576	ESP	NA	NA	NA	NA
59576	ITA	NA	NA	NA	NA
59576	ROU	NA	NA	NA	NA
59578	BEL	NA	NA	NA	NA
59579	BEL	NA	NA	NA	NA
59579	ITA	NA	NA	NA	NA
59580	BEL	21.58	0.4911	NA	NA
59580	DEU	NA	NA	NA	NA
59580	NLD	NA	NA	NA	NA
59580	PRT	NA	NA	NA	NA
59581	BEL	12.31	0.3423	NA	NA
59581	PRT	NA	NA	NA	NA
59582	BEL	NA	NA	NA	NA
59583	BEL	NA	NA	NA	NA
59583	ITA	NA	NA	NA	NA
59584	BEL	174.03	17.8676	NA	NA
59584	DEU	NA	NA	NA	NA
59584	ITA	6.01	0.617	NA	NA
59584	NLD	NA	NA	NA	NA
59585	BEL	4	0.109	NA	NA
59585	ITA	4	0.109	NA	NA
59585	NLD	NA	NA	NA	NA
59585	POL	NA	NA	NA	NA
59585	PRT	5	0.1362	NA	NA
59585	ROU	NA	NA	NA	NA
59586	BEL	16	0.2352	16.64	0.2746
59586	BGR	NA	NA	2.94	0.0485
59586	DEU	NA	NA	2	0.033
59586	ESP	4	0.0588	3.91	0.0646
59586	ITA	9	0.1323	9.81	0.1619
59586	NLD	NA	NA	2	0.033
59586	POL	NA	NA	NA	NA
59586	PRT	5	0.0735	4.89	0.0808
59587	BEL	NA	NA	NA	NA
59588	BEL	23	0.2672	22.07	0.2646
59588	DEU	NA	NA	2	0.024
59588	ITA	5	0.0581	5.02	0.0601
59588	POL	NA	NA	3.01	0.0361
59588	PRT	NA	NA	NA	NA
59588	ROU	6	0.0697	NA	NA
59589	BEL	NA	NA	NA	NA
59589	ITA	NA	NA	NA	NA
59589	PRT	NA	NA	NA	NA
59590	BEL	NA	NA	NA	NA
59591	BEL	9.02	1.0867	NA	NA
59591	ITA	NA	NA	NA	NA
59591	PRT	NA	NA	NA	NA
59592	BEL	8.67	0.2126	NA	NA
59592	POL	NA	NA	NA	NA
59592	PRT	NA	NA	NA	NA
59593	ITA	NA	NA	NA	NA
59593	PRT	NA	NA	NA	NA
59594	BEL	23	2.0481	NA	NA
59594	ITA	NA	NA	NA	NA
59594	POL	NA	NA	NA	NA
59594	PRT	4	0.3562	NA	NA
59595	BEL	NA	NA	NA	NA
59595	ITA	NA	NA	NA	NA
59595	PRT	NA	NA	NA	NA
59596	BEL	NA	NA	NA	NA
59596	PRT	NA	NA	NA	NA
59597	PRT	4.4	0.612	NA	NA
59597	ROU	NA	NA	NA	NA
59598	BEL	19	0.4816	NA	NA
59598	DEU	NA	NA	NA	NA
59598	ESP	NA	NA	NA	NA
59598	ITA	15	0.3802	NA	NA
59598	PRT	23	0.583	NA	NA
59599	BEL	319.49	0.3205	371.86	0.3819
59599	BGR	34.19	0.0343	30.96	0.0318
59599	DEU	19.09	0.0192	27.66	0.0284
59599	ESP	132.05	0.1325	149.02	0.15310000000000001
59599	ITA	387.77	0.389	400.58	0.4114
59599	NLD	21.57	0.0216	15.65	0.0161
59599	POL	48.56	0.0487	48.93	0.0502
59599	PRT	959.56	0.9627	1068.65	1.0975
59599	ROU	117.89	0.1183	158.54	0.1628
59600	BEL	NA	NA	NA	NA
59600	PRT	NA	NA	NA	NA
59601	BEL	47.35	1.7243	NA	NA
59601	ITA	5.04	0.1835	NA	NA
59601	NLD	NA	NA	NA	NA
59601	PRT	NA	NA	NA	NA
59601	ROU	NA	NA	NA	NA
59602	BEL	NA	NA	NA	NA
59602	DEU	NA	NA	NA	NA
59602	PRT	NA	NA	NA	NA
59603	BEL	4.01	0.0646	10.9	0.1754
59603	DEU	NA	NA	NA	NA
59603	ESP	NA	NA	4.01	0.0645
59603	ITA	17.59	0.2833	25.09	0.4037
59603	POL	6	0.0966	NA	NA
59603	PRT	NA	NA	2	0.0322
59604	BEL	NA	NA	NA	NA
59604	ITA	4	0.4896	NA	NA
59604	POL	NA	NA	NA	NA
59604	PRT	NA	NA	NA	NA
59605	BEL	4.57	0.2997	NA	NA
59605	NLD	NA	NA	NA	NA
59605	PRT	NA	NA	NA	NA
59606	BEL	147.82	0.3401	146.59	0.3383
59606	BGR	16.09	0.037	NA	NA
59606	DEU	9.47	0.0218	30.45	0.0703
59606	ESP	36.03	0.0829	48.87	0.1128
59606	ITA	152.57	0.351	180.09	0.4156
59606	NLD	NA	NA	8.41	0.0194
59606	POL	34.27	0.0788	29.65	0.0684
59606	PRT	58.98	0.1357	84.62	0.1953
59606	ROU	45.88	0.1056	46.63	0.1076
59607	PRT	NA	NA	NA	NA
59608	BEL	NA	NA	NA	NA
59608	ITA	NA	NA	NA	NA
59609	BEL	6	0.3827	NA	NA
59609	ITA	NA	NA	NA	NA
59609	PRT	NA	NA	NA	NA
59610	BEL	NA	NA	NA	NA
59610	DEU	NA	NA	NA	NA
59610	ITA	NA	NA	NA	NA
59611	BEL	4.21	0.1541	NA	NA
59611	DEU	NA	NA	NA	NA
59611	ESP	NA	NA	NA	NA
59611	ITA	4.15	0.1519	NA	NA
59611	POL	NA	NA	NA	NA
59611	PRT	5.34	0.1955	NA	NA
59612	BEL	NA	NA	NA	NA
59612	ITA	NA	NA	NA	NA
59613	BEL	26.02	1.7498	NA	NA
59613	ESP	NA	NA	NA	NA
59613	ITA	5.01	0.3369	NA	NA
59613	PRT	8.01	0.5387	NA	NA
59614	BEL	NA	NA	NA	NA
59614	ITA	NA	NA	NA	NA
59614	POL	NA	NA	NA	NA
59614	PRT	5.97	0.4277	NA	NA
59615	BEL	8	0.2971	NA	NA
59615	NLD	NA	NA	NA	NA
59616	BEL	172.42	1.6415	208.41	1.9908
59616	ESP	NA	NA	2	0.0191
59616	ITA	105.37	1.0031	121.31	1.1587
59616	PRT	NA	NA	2	0.0191
59617	BEL	7.01	1.0885	NA	NA
59617	ITA	NA	NA	NA	NA
59617	PRT	NA	NA	NA	NA
59617	ROU	NA	NA	NA	NA
59618	BEL	95	10.4053	NA	NA
59618	DEU	NA	NA	NA	NA
59618	ESP	NA	NA	NA	NA
59618	ITA	NA	NA	NA	NA
59618	POL	NA	NA	NA	NA
59619	BEL	6.02	0.5616	NA	NA
59619	DEU	NA	NA	NA	NA
59619	ESP	NA	NA	NA	NA
59619	ITA	NA	NA	NA	NA
59619	ROU	NA	NA	NA	NA
59620	ITA	NA	NA	NA	NA
59622	ITA	NA	NA	NA	NA
59622	POL	NA	NA	NA	NA
59623	ESP	NA	NA	NA	NA
59623	PRT	4.82	0.7047	NA	NA
59624	ESP	NA	NA	NA	NA
59624	ITA	NA	NA	NA	NA
59624	PRT	29.15	1.3378	NA	NA
59626	BEL	7.11	0.5537	NA	NA
59626	ESP	NA	NA	NA	NA
59626	NLD	NA	NA	NA	NA
59626	PRT	NA	NA	NA	NA
59626	ROU	NA	NA	NA	NA
59627	BEL	74.01	7.2844	NA	NA
59627	ITA	NA	NA	NA	NA
59627	POL	NA	NA	NA	NA
59628	BEL	NA	NA	NA	NA
59629	BEL	NA	NA	NA	NA
59629	ITA	6	0.4498	NA	NA
59630	BEL	NA	NA	NA	NA
59630	ESP	NA	NA	NA	NA
59630	ITA	7.76	0.2923	NA	NA
59630	PRT	NA	NA	NA	NA
59631	BEL	NA	NA	NA	NA
59631	DEU	NA	NA	NA	NA
59631	ESP	NA	NA	NA	NA
59631	POL	NA	NA	NA	NA
59631	PRT	9.79	0.4592	NA	NA
59631	ROU	NA	NA	NA	NA
59632	BEL	9.01	0.1599	9	0.1629
59632	ITA	40.18	0.7132	40	0.7239
59632	POL	NA	NA	NA	NA
59632	PRT	7.03	0.1248	7	0.1267
59633	BEL	38.6	13.4495	NA	NA
59633	PRT	NA	NA	NA	NA
59635	ITA	NA	NA	NA	NA
59635	PRT	NA	NA	NA	NA
59636	BEL	32.46	0.2975	39.46	0.3604
59636	DEU	NA	NA	5.16	0.0472
59636	ESP	NA	NA	6.35	0.058
59636	ITA	12.93	0.1185	20.92	0.1911
59636	NLD	6.8	0.0623	6.73	0.0614
59636	POL	NA	NA	NA	NA
59636	PRT	17.27	0.1583	18.41	0.1681
59636	ROU	NA	NA	NA	NA
59637	BEL	NA	NA	NA	NA
59637	ITA	NA	NA	NA	NA
59637	NLD	NA	NA	NA	NA
59637	POL	4.1	0.3069	NA	NA
59637	PRT	4.1	0.3069	NA	NA
59638	BEL	12.78	0.9509	NA	NA
59638	ITA	NA	NA	NA	NA
59638	PRT	4.96	0.369	NA	NA
59639	BEL	18.93	1.6842	NA	NA
59639	DEU	NA	NA	NA	NA
59639	ESP	NA	NA	NA	NA
59640	BEL	14.33	1.8116	NA	NA
59641	BEL	5	0.2428	NA	NA
59641	NLD	NA	NA	NA	NA
59642	DEU	NA	NA	NA	NA
59642	ITA	NA	NA	NA	NA
59643	BEL	8.07	3.3766	NA	NA
59645	BEL	NA	NA	NA	NA
59646	BEL	26.15	0.1242	50.54	0.2468
59646	DEU	17.74	0.0842	23.19	0.1133
59646	ESP	NA	NA	3.23	0.0158
59646	ITA	42.4	0.2013	36	0.1758
59646	NLD	10.34	0.0491	2	0.0098
59646	POL	16.66	0.0791	18.7	0.0913
59646	PRT	86.25	0.4095	95.27	0.4652
59646	ROU	14.68	0.0697	6.27	0.0306
59648	BEL	11.39	0.0724	14.31	0.0983
59648	DEU	27.03	0.1718	12.26	0.0843
59648	ESP	18.49	0.1175	11.48	0.0789
59648	ITA	9.47	0.0602	8.61	0.0592
59648	NLD	21.83	0.1387	NA	NA
59648	POL	NA	NA	5.01	0.0344
59648	PRT	10.27	0.0653	20.02	0.1376
59648	ROU	14.17	0.0901	NA	NA
59649	BEL	NA	NA	NA	NA
59649	PRT	NA	NA	NA	NA
59650	BEL	286.85	0.6992	320.15	0.7817
59650	DEU	NA	NA	2	0.0049
59650	ESP	78.22	0.1907	84.85	0.2072
59650	ITA	301.2	0.7342	339.43	0.8287
59650	POL	48.92	0.1192	52.04	0.1271
59650	PRT	427.32	1.0416	429.04	1.0475
59651	BEL	NA	NA	NA	NA
59651	ITA	7	0.4302	NA	NA
59651	PRT	NA	NA	NA	NA
59651	ROU	NA	NA	NA	NA
59653	BEL	10.93	0.1396	12	0.1563
59653	BGR	NA	NA	NA	NA
59653	DEU	NA	NA	2	0.0261
59653	ESP	NA	NA	NA	NA
59653	ITA	5	0.0639	NA	NA
59653	PRT	10.98	0.1402	12	0.1563
59654	BEL	5.95	0.0802	9	0.1208
59654	ESP	3.91	0.0527	NA	NA
59654	ITA	25.2	0.3397	30	0.4026
59654	POL	4.04	0.0545	4	0.0537
59654	PRT	3.97	0.0535	4	0.0537
59654	ROU	4.92	0.0663	NA	NA
59655	BEL	NA	NA	NA	NA
59656	BEL	40	0.7478	39.23	0.7247
59656	ESP	40	0.7478	41.24	0.7618
59656	ITA	6	0.1122	NA	NA
59656	NLD	NA	NA	3.02	0.0557
59656	POL	NA	NA	NA	NA
59656	PRT	160	2.9912	165.96	3.066
59657	PRT	NA	NA	NA	NA
59658	BEL	NA	NA	NA	NA
59658	ESP	NA	NA	NA	NA
59658	PRT	NA	NA	NA	NA
59659	BEL	7.96	0.2804	NA	NA
59659	DEU	NA	NA	NA	NA
59659	PRT	NA	NA	NA	NA
59660	BEL	10.85	0.3586	NA	NA
59660	DEU	NA	NA	NA	NA
59660	ITA	NA	NA	NA	NA
59660	NLD	NA	NA	NA	NA
59660	PRT	13.59	0.4491	NA	NA
59660	ROU	NA	NA	NA	NA
59661	BEL	5.87	4.4135	NA	NA
59662	BEL	7.02	0.5274	NA	NA
59662	ITA	NA	NA	NA	NA
59663	BEL	9.13	0.1577	9.04	0.1605
59663	ESP	NA	NA	2	0.0355
59663	ITA	NA	NA	3.02	0.0536
59663	NLD	NA	NA	2	0.0355
59663	PRT	NA	NA	2	0.0355
59663	ROU	NA	NA	NA	NA
59664	ESP	NA	NA	NA	NA
59666	BEL	5	0.3201	NA	NA
59666	ESP	NA	NA	NA	NA
59668	BEL	11.1	0.6768	NA	NA
59668	DEU	NA	NA	NA	NA
59668	PRT	NA	NA	NA	NA
59670	BEL	4	0.2807	NA	NA
59670	ESP	NA	NA	NA	NA
59670	ITA	NA	NA	NA	NA
59670	PRT	NA	NA	NA	NA
59017	DEU	NA	NA	2	0.008
59139	POL	NA	NA	2	0.0137
59155	NLD	NA	NA	2	0.0095
59179	ESP	NA	NA	2	0.0189
59179	DEU	NA	NA	2	0.0189
59220	DEU	NA	NA	3.04	0.0171
59249	NLD	NA	NA	2	0.0171
59421	NLD	NA	NA	2	0.0152
59447	DEU	NA	NA	2	0.0227
59654	DEU	NA	NA	2	0.0268
