code	city	observed	empty	in_m1	in_m4
59009	Villeneuve-d'Ascq	1	0	1	1
59328	Lambersart	1	0	1	1
59392	Maubeuge	1	0	1	1
59295	Hazebrouck	1	0	1	1
59527	Saint-André-lez-Lille	1	0	1	1
59014	Anzin	1	0	1	1
59383	Marly	1	0	1	1
59386	Marquette-lez-Lille	1	0	1	1
59449	Orchies	1	0	1	1
59457	Pérenchies	1	0	1	1
59431	Nieppe	1	0	1	0
59484	Quiévrechain	1	0	1	1
59350	Lille	1	0	1	1
59599	Tourcoing	1	0	1	1
59183	Dunkerque	1	0	1	1
59512	Roubaix	1	0	1	1
59378	Marcq-en-Barœul	1	0	1	1
59650	Wattrelos	1	0	1	1
59178	Douai	1	0	1	1
59606	Valenciennes	1	0	1	1
59122	Cambrai	1	0	1	1
59017	Armentières	1	0	1	1
59155	Coudekerque-Branche	1	0	1	1
59646	Wasquehal	1	0	1	1
59368	La Madeleine	1	0	1	1
59279	Halluin	1	0	1	1
59271	Grande-Synthe	1	0	1	1
59299	Hem	1	0	1	1
59163	Croix	1	0	1	1
59360	Loos	1	0	1	1
59410	Mons-en-Barœul	1	0	1	1
59526	Saint-Amand-les-Eaux	1	0	1	0
59507	Ronchin	1	0	1	1
59220	Faches-Thumesnil	1	0	1	1
59172	Denain	1	0	1	1
59508	Roncq	1	0	1	1
59569	Sin-le-Noble	1	0	1	1
59043	Bailleul	1	0	1	1
59421	Mouvaux	1	0	1	1
59152	Comines	1	0	1	1
59286	Haubourdin	1	0	1	1
59139	Caudry	1	0	1	1
59291	Hautmont	1	0	1	1
59491	Raismes	1	0	1	1
59367	Lys-lez-Lannoy	1	0	1	1
59648	Wattignies	1	0	1	1
59574	Somain	1	0	1	1
59090	Bondues	1	0	1	1
59249	Fourmies	1	0	1	1
59636	Wambrechies	1	0	1	1
59112	Bruay-sur-l'Escaut	1	0	1	1
59426	Neuville-en-Ferrain	1	0	0	1
59544	Saint-Saulve	1	0	1	1
59339	Leers	1	0	1	1
59616	Vieux-Condé	1	0	1	1
59011	Annœullin	1	0	1	1
59588	Téteghem-Coudekerque-Village	1	0	1	1
59179	Douchy-les-Mines	1	0	1	1
59324	Jeumont	1	0	1	1
59008	Aniche	1	0	1	1
59352	Linselles	1	0	1	1
59033	Aulnoye-Aymeries	1	0	1	0
59205	Escaudain	1	0	1	0
59447	Onnaing	1	0	1	1
59343	Lesquin	1	0	1	1
59317	Houplines	1	0	1	1
59153	Condé-sur-l'Escaut	1	0	1	1
59482	Quesnoy-sur-Deûle	1	0	1	1
59212	Estaires	1	0	1	0
59509	Roost-Warendin	1	0	1	1
59253	Fresnes-sur-Escaut	1	0	1	1
59327	Lallaing	1	0	1	1
59225	Feignies	1	0	1	1
59456	Pecquencourt	1	0	1	1
59632	Wallers	1	0	1	1
59230	Ferrière-la-Grande	1	0	1	1
59656	Wervicq-Sud	1	0	1	1
59365	Louvroil	1	0	1	1
59170	Dechy	1	1	1	1
59273	Gravelines	1	0	NA	NA
59560	Seclin	1	0	0	1
59400	Merville	1	0	NA	NA
59143	La Chapelle-d'Armentières	1	0	0	1
59131	Cappelle-la-Grande	1	0	0	1
59653	Wavrin	1	0	0	1
59586	Templeuve-en-Pévèle	1	0	0	1
59654	Waziers	1	0	1	1
59603	Trith-Saint-Léger	1	0	1	1
59165	Cuincy	1	0	0	1
59094	Bourbourg	1	0	0	1
59028	Auby	1	1	0	1
59359	Loon-Plage	1	0	0	1
59553	Santes	1	0	0	1
59032	Aulnoy-lez-Valenciennes	1	0	0	1
59079	Beuvrages	1	0	0	1
59239	Flines-lez-Raches	1	1	0	1
59663	Wormhout	1	0	0	1
59051	La Bassée	1	0	0	1
59136	Le Cateau-Cambrésis	1	0	0	1
59524	Sainghin-en-Weppes	1	0	0	1
59227	Fenain	1	0	1	1
59272	Grand-Fort-Philippe	1	0	0	1
59052	Bauvin	1	1	0	1
59268	La Gorgue	1	0	0	1
59452	Ostricourt	1	0	NA	NA
59202	Erquinghem-Lys	1	0	0	1
59459	Petite-Forêt	1	0	0	1
59234	Flers-en-Escrebieux	1	0	0	1
59021	Assevent	1	0	0	1
59348	Lieu-Saint-Amand	1	1	0	1
59171	Dehéries	1	1	NA	NA
59217	Eth	1	0	NA	NA
59081	Bévillers	1	0	NA	NA
59256	Fretin	1	0	0	1
59265	Gommegnies	1	0	0	1
59420	Moustier-en-Fagne	1	0	0	1
59241	Floyon	1	0	0	1
59293	Haverskerque	1	0	NA	NA
59551	Saméon	1	0	0	1
59305	Herzeele	1	0	NA	NA
59149	Clary	1	1	0	1
59542	Saint-Remy-Chaussée	1	0	NA	NA
59467	Pont-sur-Sambre	1	0	0	1
59490	Rainsars	1	0	0	1
59525	Sains-du-Nord	1	0	0	1
59487	Radinghem-en-Weppes	1	1	NA	NA
59196	Ennetières-en-Weppes	1	1	NA	NA
59055	Bazuel	1	1	0	1
59568	Sercus	1	1	NA	NA
59111	Broxeele	1	0	0	1
59340	Leffrinckoucke	1	0	0	1
59444	Odomez	1	1	NA	NA
59354	Loffre	1	1	NA	NA
59635	Wambaix	1	0	0	1
59530	Saint-Aybert	1	0	0	1
59301	Hergnies	1	0	0	1
59481	Le Quesnoy	1	0	NA	NA
59625	Villers-Plouich	1	0	NA	NA
59358	Looberghe	1	1	NA	NA
59476	Proville	1	0	0	1
59314	Hornaing	1	0	0	1
59263	Gœulzin	1	1	NA	NA
59349	Ligny-en-Cambrésis	1	0	0	1
59371	Le Maisnil	1	1	NA	NA
59393	Maulde	1	0	0	1
59161	Crèvecœur-sur-l'Escaut	1	0	NA	NA
59545	Saint-Souplet	1	0	0	1
59564	La Sentinelle	1	0	0	1
59313	Hordain	1	0	0	1
59162	Crochte	1	0	NA	NA
59135	Cassel	1	0	0	1
59228	Férin	1	0	NA	NA
59226	Felleries	1	0	0	1
59238	Flines-lès-Mortagne	1	0	0	1
59184	Ebblinghem	1	1	NA	NA
59667	Zermezeele	1	1	NA	NA
59173	Deûlémont	1	0	0	1
59570	Socx	1	0	NA	NA
59435	Nomain	0	NA	0	1
59375	Marchiennes	1	0	0	1
59333	Larouillies	1	0	NA	NA
59128	Capinghem	1	0	0	1
59110	Brouckerque	1	0	0	1
59066	Bérelles	0	NA	NA	NA
59555	Sars-Poteries	1	0	0	1
59010	Anneux	1	0	NA	NA
59390	Masny	1	0	0	1
59470	Prémesques	1	0	0	1
59441	Obies	0	NA	0	1
59047	Banteux	1	0	0	1
59440	Noyelles-sur-Selle	1	0	NA	NA
59093	Boulogne-sur-Helpe	1	0	0	1
59534	Saint-Hilaire-sur-Helpe	1	0	0	1
59499	Rexpoëde	1	0	0	1
59385	Marpent	1	0	0	1
59529	Saint-Aubin	1	1	NA	NA
59550	Salomé	1	1	0	1
59562	Sémeries	0	NA	0	1
59415	Montrécourt	1	0	NA	NA
59520	Rumilly-en-Cambrésis	1	0	0	1
59344	Leval	1	0	0	1
59615	Vieux-Berquin	1	1	0	1
59637	Wandignies-Hamage	1	0	0	1
59397	Merckeghem	1	0	NA	NA
59658	Wicres	1	1	0	1
59240	Floursies	1	1	NA	NA
59532	Saint-Georges-sur-l'Aa	1	1	NA	NA
59257	Fromelles	1	0	0	1
59180	Le Doulieu	1	1	0	1
59085	Blécourt	1	1	0	1
59038	Avesnes-le-Sec	0	NA	0	1
59211	Esquerchin	1	0	0	1
59576	Spycker	1	0	0	1
59629	Vred	1	1	0	1
59531	Saint-Benin	1	1	0	1
59394	Maurois	1	0	0	1
59513	Roucourt	1	0	0	1
59471	Préseau	1	1	0	1
59536	Sainte-Marie-Cappel	1	1	0	1
59078	Beugnies	0	NA	NA	NA
59062	Beaurieux	1	0	0	1
59130	Cappelle-Brouck	1	1	0	1
59430	Neuvilly	1	1	0	1
59669	Zuytpeene	1	1	0	1
59598	Toufflers	1	0	0	1
59630	Wahagnies	1	0	0	1
59405	Mœuvres	1	1	NA	NA
59278	Hallennes-lez-Haubourdin	1	0	0	1
59214	Estrées	1	1	NA	NA
59572	Solre-le-Château	1	0	0	1
59593	Thun-l'Évêque	1	0	0	1
59412	Montay	1	1	NA	NA
59483	Quiévelon	1	1	0	1
59060	Beaurain	1	1	NA	NA
59337	Lederzeele	1	1	NA	NA
59411	Mons-en-Pévèle	1	0	NA	NA
59389	Masnières	0	NA	0	1
59372	Malincourt	1	0	0	1
59442	Obrechies	1	0	0	1
59199	Erchin	0	NA	0	1
59626	Villers-Pol	1	1	NA	NA
59577	Staple	1	1	NA	NA
59322	Iwuy	1	0	0	1
59216	Eswars	1	0	0	1
59370	Mairieux	1	1	0	1
59443	Ochtezeele	1	1	NA	NA
59503	Robersart	1	1	NA	NA
59274	La Groise	1	0	NA	NA
59379	Marcq-en-Ostrevent	1	1	NA	NA
59086	Boeschepe	1	0	0	1
59581	Steenwerck	1	0	0	1
59416	Morbecque	1	0	NA	NA
59311	Honnechy	1	1	NA	NA
59113	Bruille-lez-Marchiennes	1	0	0	1
59242	Fontaine-au-Bois	1	0	0	1
59144	Château-l'Abbaye	0	NA	0	1
59573	Solrinnes	1	0	NA	NA
59641	Warhem	1	1	0	1
59109	Brillon	1	0	0	1
59363	Louvignies-Quesnoy	1	1	0	1
59547	Saint-Vaast-en-Cambrésis	0	NA	NA	NA
59591	Thivencelle	1	0	0	1
59342	Lez-Fontaine	1	0	0	1
59402	Millam	1	1	NA	NA
59188	Écuélin	1	1	NA	NA
59289	Haussy	1	1	NA	NA
59316	Houplin-Ancoisne	1	0	NA	NA
59198	Eppe-Sauvage	0	NA	0	1
59465	Pommereuil	0	NA	0	1
59067	Bergues	1	0	0	1
59643	Warneton	1	1	0	1
59121	Cagnoncles	1	0	0	1
59053	Bavay	1	0	0	1
59254	Fressain	1	1	0	1
59522	Sailly-lez-Lannoy	0	NA	0	1
59502	Rieux-en-Cambrésis	0	NA	NA	NA
59516	Rubrouck	1	0	NA	NA
59166	Curgies	1	0	0	1
59556	Sassegnies	1	1	NA	NA
59267	Gonnelieu	1	1	0	1
59537	Saint-Martin-sur-Écaillon	0	NA	NA	NA
59310	Hon-Hergies	1	0	0	1
59259	Ghissignies	1	0	0	1
59145	Chemy	1	1	0	1
59341	Lesdain	1	1	0	1
59511	Rosult	1	1	0	1
59269	Gouzeaucourt	0	NA	0	1
59438	Noyelles-sur-Escaut	1	0	0	1
59026	Aubigny-au-Bac	1	1	NA	NA
59464	Poix-du-Nord	1	0	0	1
59187	Éclaibes	1	0	NA	NA
59446	Oisy	1	0	0	1
59036	Avesnes-sur-Helpe	1	0	0	1
59657	West-Cappel	1	0	0	1
59543	Saint-Remy-du-Nord	1	1	0	1
59264	Gognies-Chaussée	0	NA	0	1
59229	Féron	1	0	NA	NA
59463	Pitgam	1	1	NA	NA
59610	Verchain-Maugré	0	NA	NA	NA
59023	Aubencheul-au-Bac	1	1	NA	NA
59549	Salesches	1	1	NA	NA
59436	Noordpeene	1	1	NA	NA
59582	Strazeele	1	1	NA	NA
59475	Prouvy	1	0	0	1
59044	Baisieux	1	0	0	1
59403	Millonfosse	1	0	0	1
59427	La Neuville	1	1	NA	NA
59075	Béthencourt	1	0	NA	NA
59042	Bachy	1	1	0	1
59125	Cantaing-sur-Escaut	0	NA	0	1
59061	Beaurepaire-sur-Sambre	1	1	NA	NA
59270	Grand-Fayt	1	1	NA	NA
59605	Uxem	1	0	0	1
59414	Montigny-en-Ostrevent	1	0	0	1
59129	Cappelle-en-Pévèle	1	0	0	1
59388	Marquillies	1	0	0	1
59003	Aibes	1	0	0	1
59399	Merris	1	0	NA	NA
59408	Moncheaux	1	0	0	1
59002	Abscon	1	0	0	1
59611	Verlinghem	1	0	0	1
59218	Étrœungt	1	1	0	1
59132	Carnières	1	1	0	1
59473	Preux-au-Sart	1	0	0	1
59539	Saint-Pierre-Brouck	1	1	NA	NA
59664	Wulverdinghe	1	1	NA	NA
59150	Cobrieux	1	0	0	1
59063	Beauvois-en-Cambrésis	1	0	0	1
59627	Villers-Sire-Nicole	1	0	0	1
59670	Don	1	0	NA	NA
59072	Bersillies	1	0	0	1
59045	Baives	1	0	0	1
59587	Terdeghem	1	1	NA	NA
59221	Famars	1	0	0	1
59462	Phalempin	1	0	0	1
59101	Bousignies-sur-Roc	1	0	0	1
59332	Lannoy	1	0	NA	NA
59292	Haveluy	1	0	0	1
59099	Bousies	1	0	0	1
59479	Quarouble	1	0	0	1
59612	Vertain	1	0	NA	NA
59182	Drincham	1	1	NA	NA
59419	Mouchin	1	0	0	1
59485	Quiévy	1	0	0	1
59445	Ohain	1	0	0	1
59638	Wannehain	1	0	0	1
59489	Raimbeaucourt	0	NA	0	1
59407	Monchaux-sur-Écaillon	1	1	NA	NA
59319	Hoymille	1	0	0	1
59304	Herrin	1	0	NA	NA
59617	Vieux-Mesnil	1	0	0	1
59244	Fontaine-Notre-Dame	1	0	0	1
59105	Bouvignies	1	0	0	1
59594	Thun-Saint-Amand	1	0	0	1
59401	Méteren	1	0	NA	NA
59413	Montigny-en-Cambrésis	1	1	NA	NA
59140	Caullery	1	1	NA	NA
59209	Esnes	0	NA	0	1
59181	Dourlers	1	0	0	1
59312	Honnecourt-sur-Escaut	1	1	NA	NA
59422	Naves	1	0	0	1
59320	Illies	1	0	0	1
59381	Maresches	1	0	NA	NA
59651	Wavrechain-sous-Denain	1	0	0	1
59118	Busigny	1	0	0	1
59116	Bry	1	0	0	1
59058	Beaufort	1	0	0	1
59073	Berthen	1	0	0	1
59046	Bambecque	1	0	0	1
59374	Marbaix	1	0	0	1
59331	Landrecies	1	0	0	1
59552	Sancourt	1	1	NA	NA
59089	Bollezeele	1	1	0	1
59451	Orsinval	0	NA	0	1
59480	Quérénaing	1	1	0	1
59634	Wallon-Cappel	1	1	NA	NA
59504	Rœulx	1	0	0	1
59488	Raillencourt-Sainte-Olle	1	0	0	1
59437	Noyelles-lès-Seclin	0	NA	NA	NA
59050	Bas-Lieu	0	NA	0	1
59623	Villers-Guislain	1	0	0	1
59054	Bavinchove	1	1	0	1
59186	Eccles	1	0	0	1
59666	Zegerscappel	1	0	0	1
59565	Sepmeries	1	0	0	1
59255	Fressies	1	0	0	1
59330	Landas	1	0	0	1
59466	Pont-à-Marcq	1	0	0	1
59057	Beaudignies	1	0	0	1
59659	Wignehies	1	0	0	1
59037	Avesnes-les-Aubert	1	0	0	1
59406	Monceau-Saint-Waast	1	1	NA	NA
59070	Bermeries	1	0	0	1
59515	Rouvignies	1	1	NA	NA
59277	Gussignies	1	0	0	1
59318	Houtkerque	1	0	0	1
59031	Audignies	1	1	0	1
59453	Oudezeele	1	1	NA	NA
59351	Limont-Fontaine	1	0	NA	NA
59357	La Longueville	0	NA	0	1
59497	Renescure	1	1	0	1
59557	Saultain	0	NA	0	1
59213	Estourmel	1	0	0	1
59495	Recquignies	1	0	0	1
59334	Lauwin-Planque	1	0	0	1
59563	Semousies	0	NA	NA	NA
59336	Lécluse	1	1	NA	NA
59141	Cauroir	1	1	NA	NA
59601	Trélon	1	0	0	1
59233	Flaumont-Waudrechies	1	0	NA	NA
59074	Bertry	1	0	0	1
59387	Marquette-en-Ostrevant	1	1	0	1
59432	Niergnies	1	0	0	1
59035	Avesnelles	1	0	0	1
59580	Steenvoorde	1	0	0	1
59134	Cartignies	1	0	0	1
59590	Thiennes	1	1	NA	NA
59076	Bettignies	1	0	NA	NA
59164	Croix-Caluyau	1	1	NA	NA
59206	Escaudœuvres	1	0	0	1
59500	Ribécourt-la-Tour	1	0	0	1
59640	Wargnies-le-Petit	1	0	0	1
59261	Glageon	1	0	0	1
59517	Les Rues-des-Vignes	1	0	0	1
59127	Capelle	0	NA	NA	NA
59571	Solesmes	0	NA	0	1
59262	Godewaersvelde	0	NA	0	1
59584	Taisnières-sur-Hon	1	1	0	1
59013	Anstaing	1	0	0	1
59157	Cousolre	0	NA	0	1
59168	Cysoing	0	NA	0	1
59458	Péronne-en-Mélantois	1	1	0	1
59609	Vendeville	1	0	0	1
59282	Hardifort	1	0	0	1
59661	Willies	0	NA	0	1
59472	Preux-au-Bois	1	0	0	1
59039	Awoingt	1	1	0	1
59558	Saulzoir	1	0	0	1
59461	Petit-Fayt	0	NA	0	1
59174	Dimechaux	0	NA	0	1
59455	Paillencourt	1	0	0	1
59665	Wylder	1	1	NA	NA
59652	Wavrechain-sous-Faulx	1	1	NA	NA
59005	Allennes-les-Marais	1	0	0	1
59579	Steene	1	0	0	1
59554	Sars-et-Rosières	1	1	0	1
59201	Erquinghem-le-Sec	1	0	0	1
59167	Cuvillers	1	0	NA	NA
59297	Hélesmes	1	0	0	1
59138	Cattenières	1	0	0	1
59492	Ramillies	1	0	0	1
59224	Féchain	1	0	0	1
59151	Colleret	0	NA	NA	NA
59596	Tilloy-lez-Marchiennes	1	1	0	1
59251	Frasnoy	1	0	0	1
59231	Ferrière-la-Petite	0	NA	0	1
59024	Auberchicourt	1	0	0	1
59521	Sailly-lez-Cambrai	1	1	NA	NA
59607	Vendegies-au-Bois	1	0	0	1
59496	Rejet-de-Beaulieu	1	1	NA	NA
59498	Reumont	1	1	NA	NA
59356	Lompret	1	0	0	1
59223	Le Favril	1	0	0	1
59519	Rumegies	1	1	0	1
59307	Holque	1	1	NA	NA
59147	Choisies	1	1	NA	NA
59034	Avelin	1	0	0	1
59098	Bousbecque	1	0	0	1
59602	Tressin	1	0	0	1
59068	Berlaimont	1	0	0	1
59434	Nivelle	1	0	0	1
59080	Beuvry-la-Forêt	1	0	0	1
59222	Faumont	0	NA	0	1
59335	Lecelles	0	NA	0	1
59280	Hamel	1	0	0	1
59064	Bellaing	1	0	NA	NA
59647	Watten	1	0	NA	NA
59294	Haynecourt	1	1	NA	NA
59197	Ennevelin	1	0	0	1
59428	Neuville-Saint-Rémy	1	0	0	1
59092	Bouchain	1	0	0	1
59208	Escobecques	1	1	NA	NA
59097	Boursies	1	0	0	1
59308	Hondeghem	1	0	0	1
59266	Gondecourt	1	0	0	1
59190	Élesmes	1	0	0	1
59191	Élincourt	1	0	0	1
59177	Dompierre-sur-Helpe	1	1	NA	NA
59477	Provin	1	0	0	1
59285	Haspres	1	0	0	1
59395	Mazinghien	1	1	NA	NA
59237	Flêtre	1	1	NA	NA
59012	Anor	1	1	0	1
59001	Abancourt	1	0	NA	NA
59424	Neuf-Mesnil	1	0	0	1
59628	Volckerinckhove	1	0	0	1
59384	Maroilles	1	0	0	1
59589	Thiant	1	0	0	1
59200	Eringhem	1	1	NA	NA
59232	La Flamengrie	1	0	0	1
59247	Forest-sur-Marque	1	0	0	1
59290	Haut-Lieu	1	1	NA	NA
59084	Blaringhem	1	0	0	1
59448	Oost-Cappel	1	0	NA	NA
59501	Rieulay	0	NA	0	1
59306	Hestrud	1	0	0	1
59091	Borre	1	0	0	1
59595	Thun-Saint-Martin	1	0	0	1
59250	Fournes-en-Weppes	1	1	0	1
59600	Tourmignies	1	0	0	1
59025	Aubers	1	1	0	1
59102	Boussières-en-Cambrésis	1	1	NA	NA
59192	Émerchicourt	1	0	NA	NA
59123	Camphin-en-Carembault	1	0	0	1
59176	Doignies	1	1	NA	NA
59100	Bousignies	1	1	0	1
59065	Bellignies	1	0	0	1
59353	Locquignol	1	0	0	1
59007	Anhiers	1	0	0	1
59323	Jenlain	1	1	0	1
59124	Camphin-en-Pévèle	1	0	0	1
59302	Hérin	1	0	0	1
59252	Frelinghien	1	0	0	1
59169	Damousies	0	NA	0	1
59133	Carnin	1	0	0	1
59048	Bantigny	1	1	NA	NA
59096	Bourghelles	1	0	NA	NA
59369	Maing	1	0	0	1
59391	Mastaing	1	1	NA	NA
59468	Potelle	0	NA	0	1
59059	Beaumont-en-Cambrésis	1	1	NA	NA
59662	Winnezeele	1	0	0	1
59338	Ledringhem	1	0	NA	NA
59346	Lezennes	1	0	0	1
59276	Guesnain	1	0	0	1
59016	Armbouts-Cappel	1	0	NA	NA
59185	Écaillon	1	0	0	1
59296	Hecq	1	0	0	1
59624	Villers-Outréaux	1	1	0	1
59425	Neuville-en-Avesnois	1	0	0	1
59210	Esquelbecq	0	NA	0	1
59106	Bouvines	1	0	0	1
59523	Sainghin-en-Mélantois	1	0	0	1
59494	Raucourt-au-Bois	1	0	NA	NA
59288	Haulchin	1	0	0	1
59631	Walincourt-Selvigny	1	0	0	1
59041	Bachant	1	0	0	1
59583	Taisnières-en-Thiérache	1	1	NA	NA
59077	Bettrechies	1	0	0	1
59493	Ramousies	1	1	NA	NA
59194	Englefontaine	1	0	0	1
59071	Bersée	1	0	0	1
59275	Gruson	1	0	0	1
59103	Boussières-sur-Sambre	1	0	0	1
59622	Villers-en-Cauchies	0	NA	NA	NA
59303	Herlies	1	0	0	1
59287	Haucourt-en-Cambrésis	1	1	NA	NA
59546	Saint-Sylvestre-Cappel	1	0	0	1
59660	Willems	0	NA	0	1
59642	Warlaing	0	NA	0	1
59633	Wallers-en-Fagne	1	0	0	1
59649	Wattignies-la-Victoire	1	0	0	1
59120	Caëstre	1	0	0	1
59548	Saint-Waast	1	0	0	1
59326	Killem	1	1	NA	NA
59204	Escarmain	1	0	NA	NA
59027	Aubry-du-Hainaut	1	0	0	1
59087	Boëseghem	1	0	0	1
59578	Steenbecque	1	0	0	1
59486	Râches	0	NA	0	1
59409	Monchecourt	0	NA	0	1
59018	Arnèke	1	1	0	1
59069	Bermerain	1	1	NA	NA
59618	Vieux-Reng	1	0	0	1
59433	Nieurlet	1	0	NA	NA
59533	Saint-Hilaire-lez-Cambrai	1	0	0	1
59015	Arleux	1	1	0	1
59450	Ors	1	0	NA	NA
59518	Ruesnes	0	NA	0	1
59478	Quaëdypre	1	1	NA	NA
59592	Thumeries	0	NA	0	1
59645	Wasnes-au-Bac	1	1	NA	NA
59281	Hantay	1	0	0	1
59019	Artres	1	0	0	1
59514	Rousies	1	0	0	1
59142	Cerfontaine	1	0	0	1
59541	Saint-Python	0	NA	0	1
59382	Maretz	1	0	0	1
59329	Lambres-lez-Douai	1	0	0	1
59203	Erre	1	0	0	1
59418	Mortagne-du-Nord	1	0	0	1
59347	Liessies	1	0	0	1
59325	Jolimetz	0	NA	0	1
59215	Estreux	1	0	0	1
59159	Craywick	1	1	NA	NA
59146	Chéreng	1	0	0	1
59108	Briastre	1	1	NA	NA
59114	Bruille-Saint-Amand	1	1	0	1
59049	Bantouzelle	1	1	NA	NA
59620	Villers-au-Tertre	1	1	0	1
59377	Marcoing	1	0	NA	NA
59056	Beaucamps-Ligny	1	0	0	1
59559	Sebourg	0	NA	0	1
59321	Inchy	0	NA	0	1
59439	Noyelles-sur-Sambre	0	NA	0	1
59117	Bugnicourt	1	1	0	1
59366	Lynde	1	1	NA	NA
59566	Sequedin	1	1	0	1
59454	Oxelaëre	1	0	NA	NA
59608	Vendegies-sur-Écaillon	0	NA	0	1
59619	Villereau	1	0	0	1
59219	Estrun	1	0	NA	NA
59004	Aix-en-Pévèle	1	1	NA	NA
59538	Saint-Momelin	0	NA	NA	NA
59575	Sommaing	0	NA	0	1
59088	Bois-Grenier	1	0	0	1
59361	Lourches	1	0	0	1
59258	Genech	1	0	0	1
59083	Bissezeele	1	0	NA	NA
59469	Pradelles	1	1	NA	NA
59160	Crespin	1	0	0	1
59029	Auchy-lez-Orchies	1	0	0	1
59613	Vicq	1	0	0	1
59585	Templemars	1	0	0	1
59148	Clairfayts	0	NA	0	1
59597	Tilloy-lez-Cambrai	1	1	NA	NA
59655	Wemaers-Cappel	1	1	NA	NA
59246	Forest-en-Cambrésis	1	0	NA	NA
59207	Escautpont	0	NA	0	1
59022	Attiches	1	1	0	1
59107	Bray-Dunes	1	0	0	1
59474	Prisches	1	0	0	1
59567	Séranvillers-Forenville	1	1	0	1
59283	Hargnies	1	0	0	1
59614	Viesly	1	0	0	1
59398	Mérignies	1	0	0	1
59535	Saint-Jans-Cappel	1	0	0	1
59006	Amfroipret	1	0	0	1
59243	Fontaine-au-Pire	1	1	0	1
59423	Neuf-Berquin	1	0	NA	NA
59364	Louvil	0	NA	0	1
59345	Lewarde	0	NA	0	1
59082	Bierne	0	NA	0	1
59119	Buysscheure	1	1	NA	NA
59396	Mecquignies	1	0	0	1
59668	Zuydcoote	1	0	0	1
59236	Flesquières	1	0	NA	NA
59137	Catillon-sur-Sambre	1	0	0	1
59284	Hasnon	1	0	0	1
59156	Courchelettes	1	0	0	1
59193	Emmerin	0	NA	0	1
59528	Saint-Aubert	0	NA	0	1
59158	Coutiches	1	0	0	1
59300	Hem-Lenglet	1	1	NA	NA
59126	Cantin	1	0	0	1
59260	Ghyvelde	0	NA	0	1
59115	Brunémont	1	0	0	1
59104	Boussois	1	0	0	1
59604	Troisvilles	1	0	0	1
59189	Eecke	0	NA	0	1
59195	Englos	1	0	NA	NA
59315	Houdain-lez-Bavay	0	NA	0	1
59505	Rombies-et-Marchipont	1	0	0	1
59429	Neuville-sur-Escaut	1	0	0	1
59639	Wargnies-le-Grand	1	0	0	1
59506	Romeries	1	0	0	1
59309	Hondschoote	1	0	0	1
59175	Dimont	1	1	0	1
